torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss = 0.64, Train Recon Loss = 0.64, Train Masked Recon Loss = 0.64, Valid loss = 0.50, Valid Recon Loss = 0.48, Valid Masked Recon Loss = 0.51, lr = 0.00100
Epoch: 1, Train Loss = 0.42, Train Recon Loss = 0.42, Train Masked Recon Loss = 0.42, Valid loss = 0.46, Valid Recon Loss = 0.41, Valid Masked Recon Loss = 0.52, lr = 0.00100
Epoch: 2, Train Loss = 0.38, Train Recon Loss = 0.38, Train Masked Recon Loss = 0.38, Valid loss = 0.43, Valid Recon Loss = 0.39, Valid Masked Recon Loss = 0.48, lr = 0.00100
Epoch: 3, Train Loss = 0.35, Train Recon Loss = 0.35, Train Masked Recon Loss = 0.35, Valid loss = 0.41, Valid Recon Loss = 0.38, Valid Masked Recon Loss = 0.45, lr = 0.00100
Epoch: 4, Train Loss = 0.34, Train Recon Loss = 0.34, Train Masked Recon Loss = 0.34, Valid loss = 0.44, Valid Recon Loss = 0.38, Valid Masked Recon Loss = 0.50, lr = 0.00100
Epoch: 5, Train Loss = 0.34, Train Recon Loss = 0.34, Train Masked Recon Loss = 0.34, Valid loss = 0.41, Valid Recon Loss = 0.36, Valid Masked Recon Loss = 0.47, lr = 0.00100
Epoch: 6, Train Loss = 0.33, Train Recon Loss = 0.33, Train Masked Recon Loss = 0.33, Valid loss = 0.41, Valid Recon Loss = 0.35, Valid Masked Recon Loss = 0.46, lr = 0.00100
Epoch: 7, Train Loss = 0.33, Train Recon Loss = 0.33, Train Masked Recon Loss = 0.33, Valid loss = 0.39, Valid Recon Loss = 0.34, Valid Masked Recon Loss = 0.44, lr = 0.00100
Epoch: 8, Train Loss = 0.32, Train Recon Loss = 0.32, Train Masked Recon Loss = 0.32, Valid loss = 0.39, Valid Recon Loss = 0.33, Valid Masked Recon Loss = 0.45, lr = 0.00100
Epoch: 9, Train Loss = 0.31, Train Recon Loss = 0.31, Train Masked Recon Loss = 0.31, Valid loss = 0.38, Valid Recon Loss = 0.32, Valid Masked Recon Loss = 0.45, lr = 0.00100
Epoch: 10, Train Loss = 0.29, Train Recon Loss = 0.29, Train Masked Recon Loss = 0.30, Valid loss = 0.38, Valid Recon Loss = 0.31, Valid Masked Recon Loss = 0.45, lr = 0.00100
Epoch: 11, Train Loss = 0.29, Train Recon Loss = 0.29, Train Masked Recon Loss = 0.29, Valid loss = 0.37, Valid Recon Loss = 0.32, Valid Masked Recon Loss = 0.42, lr = 0.00100
Epoch: 12, Train Loss = 0.28, Train Recon Loss = 0.28, Train Masked Recon Loss = 0.28, Valid loss = 0.36, Valid Recon Loss = 0.31, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 13, Train Loss = 0.27, Train Recon Loss = 0.27, Train Masked Recon Loss = 0.27, Valid loss = 0.36, Valid Recon Loss = 0.29, Valid Masked Recon Loss = 0.43, lr = 0.00100
Epoch: 14, Train Loss = 0.27, Train Recon Loss = 0.27, Train Masked Recon Loss = 0.27, Valid loss = 0.36, Valid Recon Loss = 0.29, Valid Masked Recon Loss = 0.42, lr = 0.00100
Epoch: 15, Train Loss = 0.26, Train Recon Loss = 0.26, Train Masked Recon Loss = 0.26, Valid loss = 0.35, Valid Recon Loss = 0.27, Valid Masked Recon Loss = 0.43, lr = 0.00100
Epoch: 16, Train Loss = 0.25, Train Recon Loss = 0.25, Train Masked Recon Loss = 0.25, Valid loss = 0.35, Valid Recon Loss = 0.28, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 17, Train Loss = 0.25, Train Recon Loss = 0.25, Train Masked Recon Loss = 0.25, Valid loss = 0.34, Valid Recon Loss = 0.27, Valid Masked Recon Loss = 0.42, lr = 0.00100
Epoch: 18, Train Loss = 0.24, Train Recon Loss = 0.24, Train Masked Recon Loss = 0.24, Valid loss = 0.35, Valid Recon Loss = 0.26, Valid Masked Recon Loss = 0.43, lr = 0.00100
Epoch: 19, Train Loss = 0.23, Train Recon Loss = 0.23, Train Masked Recon Loss = 0.24, Valid loss = 0.34, Valid Recon Loss = 0.25, Valid Masked Recon Loss = 0.43, lr = 0.00100
Epoch: 20, Train Loss = 0.23, Train Recon Loss = 0.23, Train Masked Recon Loss = 0.23, Valid loss = 0.34, Valid Recon Loss = 0.26, Valid Masked Recon Loss = 0.42, lr = 0.00100
Epoch: 21, Train Loss = 0.22, Train Recon Loss = 0.22, Train Masked Recon Loss = 0.23, Valid loss = 0.33, Valid Recon Loss = 0.24, Valid Masked Recon Loss = 0.43, lr = 0.00100
Epoch: 22, Train Loss = 0.22, Train Recon Loss = 0.22, Train Masked Recon Loss = 0.22, Valid loss = 0.34, Valid Recon Loss = 0.24, Valid Masked Recon Loss = 0.45, lr = 0.00100
Epoch: 23, Train Loss = 0.21, Train Recon Loss = 0.21, Train Masked Recon Loss = 0.22, Valid loss = 0.34, Valid Recon Loss = 0.23, Valid Masked Recon Loss = 0.44, lr = 0.00100
Epoch: 24, Train Loss = 0.21, Train Recon Loss = 0.21, Train Masked Recon Loss = 0.21, Valid loss = 0.33, Valid Recon Loss = 0.23, Valid Masked Recon Loss = 0.44, lr = 0.00100
Epoch: 25, Train Loss = 0.21, Train Recon Loss = 0.21, Train Masked Recon Loss = 0.21, Valid loss = 0.32, Valid Recon Loss = 0.23, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 26, Train Loss = 0.20, Train Recon Loss = 0.20, Train Masked Recon Loss = 0.21, Valid loss = 0.32, Valid Recon Loss = 0.23, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 27, Train Loss = 0.20, Train Recon Loss = 0.20, Train Masked Recon Loss = 0.20, Valid loss = 0.32, Valid Recon Loss = 0.23, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 28, Train Loss = 0.20, Train Recon Loss = 0.20, Train Masked Recon Loss = 0.20, Valid loss = 0.31, Valid Recon Loss = 0.22, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 29, Train Loss = 0.20, Train Recon Loss = 0.19, Train Masked Recon Loss = 0.20, Valid loss = 0.32, Valid Recon Loss = 0.22, Valid Masked Recon Loss = 0.42, lr = 0.00100
Epoch: 30, Train Loss = 0.19, Train Recon Loss = 0.19, Train Masked Recon Loss = 0.19, Valid loss = 0.31, Valid Recon Loss = 0.22, Valid Masked Recon Loss = 0.40, lr = 0.00100
Epoch: 31, Train Loss = 0.19, Train Recon Loss = 0.19, Train Masked Recon Loss = 0.19, Valid loss = 0.31, Valid Recon Loss = 0.21, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 32, Train Loss = 0.19, Train Recon Loss = 0.18, Train Masked Recon Loss = 0.19, Valid loss = 0.28, Valid Recon Loss = 0.21, Valid Masked Recon Loss = 0.36, lr = 0.00100
Epoch: 33, Train Loss = 0.18, Train Recon Loss = 0.18, Train Masked Recon Loss = 0.19, Valid loss = 0.29, Valid Recon Loss = 0.20, Valid Masked Recon Loss = 0.39, lr = 0.00100
Epoch: 34, Train Loss = 0.18, Train Recon Loss = 0.18, Train Masked Recon Loss = 0.18, Valid loss = 0.31, Valid Recon Loss = 0.21, Valid Masked Recon Loss = 0.41, lr = 0.00100
Epoch: 35, Train Loss = 0.18, Train Recon Loss = 0.18, Train Masked Recon Loss = 0.18, Valid loss = 0.29, Valid Recon Loss = 0.20, Valid Masked Recon Loss = 0.39, lr = 0.00100
Epoch: 36, Train Loss = 0.18, Train Recon Loss = 0.18, Train Masked Recon Loss = 0.18, Valid loss = 0.29, Valid Recon Loss = 0.20, Valid Masked Recon Loss = 0.39, lr = 0.00100
Epoch: 37, Train Loss = 0.18, Train Recon Loss = 0.17, Train Masked Recon Loss = 0.18, Valid loss = 0.29, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.39, lr = 0.00100
Epoch: 38, Train Loss = 0.17, Train Recon Loss = 0.17, Train Masked Recon Loss = 0.18, Valid loss = 0.29, Valid Recon Loss = 0.20, Valid Masked Recon Loss = 0.38, lr = 0.00100
Epoch: 39, Train Loss = 0.17, Train Recon Loss = 0.17, Train Masked Recon Loss = 0.17, Valid loss = 0.28, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.37, lr = 0.00100
Epoch: 40, Train Loss = 0.17, Train Recon Loss = 0.17, Train Masked Recon Loss = 0.17, Valid loss = 0.28, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.38, lr = 0.00100
Epoch: 41, Train Loss = 0.17, Train Recon Loss = 0.17, Train Masked Recon Loss = 0.17, Valid loss = 0.28, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.36, lr = 0.00100
Epoch: 42, Train Loss = 0.17, Train Recon Loss = 0.17, Train Masked Recon Loss = 0.17, Valid loss = 0.27, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.35, lr = 0.00100
Epoch: 43, Train Loss = 0.17, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.17, Valid loss = 0.26, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.33, lr = 0.00100
Epoch: 44, Train Loss = 0.17, Train Recon Loss = 0.16, Train Masked Recon Loss = 0.17, Valid loss = 0.26, Valid Recon Loss = 0.19, Valid Masked Recon Loss = 0.34, lr = 0.00100
