nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Training Decoder
Epoch: 0, Total Train Loss: 0.57, Total Valid Loss: 0.26, Learning Rate: 0.001
Epoch: 1, Total Train Loss: 0.21, Total Valid Loss: 0.19, Learning Rate: 0.001
Epoch: 2, Total Train Loss: 0.17, Total Valid Loss: 0.17, Learning Rate: 0.001
Epoch: 3, Total Train Loss: 0.15, Total Valid Loss: 0.16, Learning Rate: 0.001
Epoch: 4, Total Train Loss: 0.15, Total Valid Loss: 0.15, Learning Rate: 0.001
Epoch: 5, Total Train Loss: 0.14, Total Valid Loss: 0.15, Learning Rate: 0.001
Epoch: 6, Total Train Loss: 0.14, Total Valid Loss: 0.15, Learning Rate: 0.001
Epoch: 7, Total Train Loss: 0.14, Total Valid Loss: 0.15, Learning Rate: 0.001
Epoch: 8, Total Train Loss: 0.14, Total Valid Loss: 0.15, Learning Rate: 0.001
Epoch: 9, Total Train Loss: 0.14, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 10, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 11, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 12, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 13, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 14, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 15, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 16, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 17, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 18, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 19, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 20, Total Train Loss: 0.13, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 21, Total Train Loss: 0.13, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 22, Total Train Loss: 0.13, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 23, Total Train Loss: 0.13, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 24, Total Train Loss: 0.13, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 25, Total Train Loss: 0.12, Total Valid Loss: 0.14, Learning Rate: 0.001
Epoch: 26, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 27, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 28, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 29, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 30, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 31, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 32, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 33, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 34, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 35, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 36, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 37, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 38, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 39, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 40, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 41, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 42, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 43, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 44, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 45, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 46, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 47, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 48, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
Epoch: 49, Total Train Loss: 0.12, Total Valid Loss: 0.13, Learning Rate: 0.001
