nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
Starting Downstream Task
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.01878, Valid Loss: 0.01115, EPS: 0.991
Epoch: 1, Train Loss: 0.00908, Valid Loss: 0.01046, EPS: 0.982
Epoch: 2, Train Loss: 0.00739, Valid Loss: 0.00969, EPS: 0.973
Epoch: 3, Train Loss: 0.00668, Valid Loss: 0.01070, EPS: 0.964
Epoch: 4, Train Loss: 0.00643, Valid Loss: 0.01182, EPS: 0.955
Epoch: 5, Train Loss: 0.00626, Valid Loss: 0.00965, EPS: 0.946
Epoch: 6, Train Loss: 0.00650, Valid Loss: 0.01055, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00630, Valid Loss: 0.00999, EPS: 0.928
Epoch: 8, Train Loss: 0.00571, Valid Loss: 0.00928, EPS: 0.919
Epoch: 9, Train Loss: 0.00585, Valid Loss: 0.01048, EPS: 0.91
Epoch: 10, Train Loss: 0.00558, Valid Loss: 0.01281, EPS: 0.901
Epoch: 11, Train Loss: 0.00585, Valid Loss: 0.01249, EPS: 0.892
Epoch: 12, Train Loss: 0.00577, Valid Loss: 0.01078, EPS: 0.883
Epoch: 13, Train Loss: 0.00653, Valid Loss: 0.01118, EPS: 0.874
Epoch: 14, Train Loss: 0.00616, Valid Loss: 0.01019, EPS: 0.865
Epoch: 15, Train Loss: 0.00646, Valid Loss: 0.00966, EPS: 0.856
Epoch: 16, Train Loss: 0.00597, Valid Loss: 0.01186, EPS: 0.847
Epoch: 17, Train Loss: 0.00603, Valid Loss: 0.01111, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00577, Valid Loss: 0.00998, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00609, Valid Loss: 0.00969, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00553, Valid Loss: 0.00852, EPS: 0.811
Epoch: 21, Train Loss: 0.00557, Valid Loss: 0.00849, EPS: 0.802
Epoch: 22, Train Loss: 0.00549, Valid Loss: 0.00851, EPS: 0.793
Epoch: 23, Train Loss: 0.00544, Valid Loss: 0.00854, EPS: 0.784
Epoch: 24, Train Loss: 0.00541, Valid Loss: 0.01012, EPS: 0.775
Epoch: 25, Train Loss: 0.00556, Valid Loss: 0.00852, EPS: 0.766
Epoch: 26, Train Loss: 0.00557, Valid Loss: 0.00836, EPS: 0.757
Epoch: 27, Train Loss: 0.00551, Valid Loss: 0.00857, EPS: 0.748
Epoch: 28, Train Loss: 0.00550, Valid Loss: 0.00862, EPS: 0.739
Epoch: 29, Train Loss: 0.00560, Valid Loss: 0.00844, EPS: 0.73
Epoch: 30, Train Loss: 0.00557, Valid Loss: 0.00843, EPS: 0.721
Epoch: 31, Train Loss: 0.00542, Valid Loss: 0.00837, EPS: 0.712
Epoch: 32, Train Loss: 0.00552, Valid Loss: 0.00840, EPS: 0.703
Epoch: 33, Train Loss: 0.00562, Valid Loss: 0.00897, EPS: 0.694
Epoch: 34, Train Loss: 0.00554, Valid Loss: 0.00851, EPS: 0.685
Epoch: 35, Train Loss: 0.00590, Valid Loss: 0.00861, EPS: 0.676
Epoch: 36, Train Loss: 0.00571, Valid Loss: 0.01731, EPS: 0.667
Epoch: 37, Train Loss: 0.00618, Valid Loss: 0.00855, EPS: 0.658
Epoch: 38, Train Loss: 0.00552, Valid Loss: 0.00837, EPS: 0.649
Epoch: 39, Train Loss: 0.00568, Valid Loss: 0.00833, EPS: 0.64
Epoch: 40, Train Loss: 0.00574, Valid Loss: 0.00832, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.00561, Valid Loss: 0.00832, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.00586, Valid Loss: 0.00829, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.00555, Valid Loss: 0.00830, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.00577, Valid Loss: 0.00825, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.00564, Valid Loss: 0.00827, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.00569, Valid Loss: 0.00827, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.00579, Valid Loss: 0.00827, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.00563, Valid Loss: 0.00823, EPS: 0.559
Epoch: 49, Train Loss: 0.00581, Valid Loss: 0.00825, EPS: 0.55
Epoch: 50, Train Loss: 0.00567, Valid Loss: 0.00824, EPS: 0.541
Epoch: 51, Train Loss: 0.00587, Valid Loss: 0.00824, EPS: 0.532
