nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
Starting Downstream Task
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.02354, Valid Loss: 0.01534, EPS: 0.991
Epoch: 1, Train Loss: 0.01167, Valid Loss: 0.01407, EPS: 0.982
Epoch: 2, Train Loss: 0.00965, Valid Loss: 0.01442, EPS: 0.973
Epoch: 3, Train Loss: 0.00909, Valid Loss: 0.01504, EPS: 0.964
Epoch: 4, Train Loss: 0.00855, Valid Loss: 0.01871, EPS: 0.955
Epoch: 5, Train Loss: 0.00823, Valid Loss: 0.01425, EPS: 0.946
Epoch: 6, Train Loss: 0.00770, Valid Loss: 0.01464, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00954, Valid Loss: 0.01449, EPS: 0.928
Epoch: 8, Train Loss: 0.00823, Valid Loss: 0.01477, EPS: 0.919
Epoch: 9, Train Loss: 0.00774, Valid Loss: 0.01606, EPS: 0.91
Epoch: 10, Train Loss: 0.00780, Valid Loss: 0.01454, EPS: 0.901
Epoch: 11, Train Loss: 0.00739, Valid Loss: 0.01404, EPS: 0.892
Epoch: 12, Train Loss: 0.00723, Valid Loss: 0.01484, EPS: 0.883
Epoch: 13, Train Loss: 0.00717, Valid Loss: 0.02236, EPS: 0.874
Epoch: 14, Train Loss: 0.01004, Valid Loss: 0.02467, EPS: 0.865
Epoch: 15, Train Loss: 0.00888, Valid Loss: 0.01890, EPS: 0.856
Epoch: 16, Train Loss: 0.00829, Valid Loss: 0.01787, EPS: 0.847
Epoch: 17, Train Loss: 0.00837, Valid Loss: 0.01636, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00893, Valid Loss: 0.01516, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00838, Valid Loss: 0.01473, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00863, Valid Loss: 0.01500, EPS: 0.811
Epoch: 21, Train Loss: 0.00899, Valid Loss: 0.01764, EPS: 0.802
Epoch: 22, Train Loss: 0.00937, Valid Loss: 0.01497, EPS: 0.793
Epoch: 23, Train Loss: 0.00786, Valid Loss: 0.01326, EPS: 0.784
Epoch: 24, Train Loss: 0.00770, Valid Loss: 0.01321, EPS: 0.775
Epoch: 25, Train Loss: 0.00753, Valid Loss: 0.01415, EPS: 0.766
Epoch: 26, Train Loss: 0.00753, Valid Loss: 0.01325, EPS: 0.757
Epoch: 27, Train Loss: 0.00765, Valid Loss: 0.01325, EPS: 0.748
Epoch: 28, Train Loss: 0.00744, Valid Loss: 0.01322, EPS: 0.739
Epoch: 29, Train Loss: 0.00749, Valid Loss: 0.01321, EPS: 0.73
Epoch: 30, Train Loss: 0.00755, Valid Loss: 0.01330, EPS: 0.721
Epoch: 31, Train Loss: 0.00727, Valid Loss: 0.01317, EPS: 0.712
Epoch: 32, Train Loss: 0.00784, Valid Loss: 0.01325, EPS: 0.703
Epoch: 33, Train Loss: 0.00720, Valid Loss: 0.01305, EPS: 0.694
Epoch: 34, Train Loss: 0.00736, Valid Loss: 0.01300, EPS: 0.685
Epoch: 35, Train Loss: 0.00736, Valid Loss: 0.01316, EPS: 0.676
Epoch: 36, Train Loss: 0.00740, Valid Loss: 0.01306, EPS: 0.667
Epoch: 37, Train Loss: 0.00733, Valid Loss: 0.01324, EPS: 0.658
Epoch: 38, Train Loss: 0.00726, Valid Loss: 0.01562, EPS: 0.649
Epoch: 39, Train Loss: 0.00764, Valid Loss: 0.01330, EPS: 0.64
Epoch: 40, Train Loss: 0.00740, Valid Loss: 0.01301, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.00756, Valid Loss: 0.01315, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.00736, Valid Loss: 0.01308, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.00736, Valid Loss: 0.01309, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.00755, Valid Loss: 0.01321, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.00794, Valid Loss: 0.01379, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.00757, Valid Loss: 0.01287, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.00761, Valid Loss: 0.01285, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.00750, Valid Loss: 0.01281, EPS: 0.559
Epoch: 49, Train Loss: 0.00737, Valid Loss: 0.01283, EPS: 0.55
Epoch: 50, Train Loss: 0.00749, Valid Loss: 0.01282, EPS: 0.541
Epoch: 51, Train Loss: 0.00758, Valid Loss: 0.01282, EPS: 0.532
