nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Starting Downstream Task
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.06517, Valid Loss: 0.04993, EPS: 0.991
Epoch: 1, Train Loss: 0.04316, Valid Loss: 0.04476, EPS: 0.982
Epoch: 2, Train Loss: 0.03923, Valid Loss: 0.04322, EPS: 0.973
Epoch: 3, Train Loss: 0.03748, Valid Loss: 0.04219, EPS: 0.964
Epoch: 4, Train Loss: 0.03626, Valid Loss: 0.04186, EPS: 0.955
Epoch: 5, Train Loss: 0.03586, Valid Loss: 0.04086, EPS: 0.946
Epoch: 6, Train Loss: 0.03543, Valid Loss: 0.04092, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.03485, Valid Loss: 0.04108, EPS: 0.928
Epoch: 8, Train Loss: 0.03458, Valid Loss: 0.04119, EPS: 0.919
Epoch: 9, Train Loss: 0.03450, Valid Loss: 0.04037, EPS: 0.91
Epoch: 10, Train Loss: 0.03413, Valid Loss: 0.04044, EPS: 0.901
Epoch: 11, Train Loss: 0.03423, Valid Loss: 0.04065, EPS: 0.892
Epoch: 12, Train Loss: 0.03405, Valid Loss: 0.04054, EPS: 0.883
Epoch: 13, Train Loss: 0.03379, Valid Loss: 0.04006, EPS: 0.874
Epoch: 14, Train Loss: 0.03368, Valid Loss: 0.03993, EPS: 0.865
Epoch: 15, Train Loss: 0.03369, Valid Loss: 0.04009, EPS: 0.856
Epoch: 16, Train Loss: 0.03359, Valid Loss: 0.03997, EPS: 0.847
Epoch: 17, Train Loss: 0.03351, Valid Loss: 0.04025, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.03339, Valid Loss: 0.03950, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.03305, Valid Loss: 0.03989, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.03341, Valid Loss: 0.03993, EPS: 0.811
Epoch: 21, Train Loss: 0.03330, Valid Loss: 0.04024, EPS: 0.802
Epoch: 22, Train Loss: 0.03331, Valid Loss: 0.03994, EPS: 0.793
Epoch: 23, Train Loss: 0.03320, Valid Loss: 0.03993, EPS: 0.784
Epoch: 24, Train Loss: 0.03326, Valid Loss: 0.03964, EPS: 0.775
Epoch: 25, Train Loss: 0.03312, Valid Loss: 0.03970, EPS: 0.766
Epoch: 26, Train Loss: 0.03309, Valid Loss: 0.03992, EPS: 0.757
Epoch: 27, Train Loss: 0.03296, Valid Loss: 0.03986, EPS: 0.748
Epoch: 28, Train Loss: 0.03293, Valid Loss: 0.03974, EPS: 0.739
Epoch: 29, Train Loss: 0.03286, Valid Loss: 0.03986, EPS: 0.73
Epoch: 30, Train Loss: 0.02835, Valid Loss: 0.03522, EPS: 0.721
Epoch: 31, Train Loss: 0.02604, Valid Loss: 0.03429, EPS: 0.712
Epoch: 32, Train Loss: 0.02546, Valid Loss: 0.03396, EPS: 0.703
Epoch: 33, Train Loss: 0.02508, Valid Loss: 0.03367, EPS: 0.694
Epoch: 34, Train Loss: 0.02486, Valid Loss: 0.03354, EPS: 0.685
Epoch: 35, Train Loss: 0.02464, Valid Loss: 0.03339, EPS: 0.676
Epoch: 36, Train Loss: 0.02445, Valid Loss: 0.03340, EPS: 0.667
Epoch: 37, Train Loss: 0.02435, Valid Loss: 0.03325, EPS: 0.658
Epoch: 38, Train Loss: 0.02416, Valid Loss: 0.03325, EPS: 0.649
Epoch: 39, Train Loss: 0.02398, Valid Loss: 0.03331, EPS: 0.64
Epoch: 40, Train Loss: 0.02386, Valid Loss: 0.03341, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.02370, Valid Loss: 0.03337, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.02353, Valid Loss: 0.03356, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.02339, Valid Loss: 0.03367, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.02320, Valid Loss: 0.03369, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.02304, Valid Loss: 0.03369, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.02290, Valid Loss: 0.03383, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.02270, Valid Loss: 0.03397, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.02252, Valid Loss: 0.03396, EPS: 0.559
Epoch: 49, Train Loss: 0.02117, Valid Loss: 0.03364, EPS: 0.55
Epoch: 50, Train Loss: 0.02081, Valid Loss: 0.03381, EPS: 0.541
Epoch: 51, Train Loss: 0.02067, Valid Loss: 0.03387, EPS: 0.532
Epoch: 52, Train Loss: 0.02057, Valid Loss: 0.03398, EPS: 0.523
Epoch: 53, Train Loss: 0.02050, Valid Loss: 0.03402, EPS: 0.514
