Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Starting Downstream Task
Running context window: 5 with stride: 5 with seed: 0
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.02366, Valid Loss: 0.01676, EPS: 0.991
Epoch: 1, Train Loss: 0.01480, Valid Loss: 0.01382, EPS: 0.982
Epoch: 2, Train Loss: 0.01166, Valid Loss: 0.01217, EPS: 0.973
Epoch: 3, Train Loss: 0.00985, Valid Loss: 0.01117, EPS: 0.964
Epoch: 4, Train Loss: 0.00881, Valid Loss: 0.01086, EPS: 0.955
Epoch: 5, Train Loss: 0.00814, Valid Loss: 0.01051, EPS: 0.946
Epoch: 6, Train Loss: 0.00777, Valid Loss: 0.01040, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00750, Valid Loss: 0.01029, EPS: 0.928
Epoch: 8, Train Loss: 0.00731, Valid Loss: 0.01018, EPS: 0.919
Epoch: 9, Train Loss: 0.00717, Valid Loss: 0.01013, EPS: 0.91
Epoch: 10, Train Loss: 0.00701, Valid Loss: 0.01004, EPS: 0.901
Epoch: 11, Train Loss: 0.00691, Valid Loss: 0.01000, EPS: 0.892
Epoch: 12, Train Loss: 0.00677, Valid Loss: 0.00999, EPS: 0.883
Epoch: 13, Train Loss: 0.00663, Valid Loss: 0.00985, EPS: 0.874
Epoch: 14, Train Loss: 0.00651, Valid Loss: 0.00981, EPS: 0.865
Epoch: 15, Train Loss: 0.00649, Valid Loss: 0.00978, EPS: 0.856
Epoch: 16, Train Loss: 0.00644, Valid Loss: 0.00976, EPS: 0.847
Epoch: 17, Train Loss: 0.00640, Valid Loss: 0.00987, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00634, Valid Loss: 0.00975, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00626, Valid Loss: 0.00975, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00624, Valid Loss: 0.00983, EPS: 0.811
Epoch: 21, Train Loss: 0.00617, Valid Loss: 0.00974, EPS: 0.802
Epoch: 22, Train Loss: 0.00616, Valid Loss: 0.00977, EPS: 0.793
Epoch: 23, Train Loss: 0.00610, Valid Loss: 0.00972, EPS: 0.784
Epoch: 24, Train Loss: 0.00608, Valid Loss: 0.00973, EPS: 0.775
Epoch: 25, Train Loss: 0.00606, Valid Loss: 0.00968, EPS: 0.766
Epoch: 26, Train Loss: 0.00603, Valid Loss: 0.00962, EPS: 0.757
Epoch: 27, Train Loss: 0.00598, Valid Loss: 0.00963, EPS: 0.748
Epoch: 28, Train Loss: 0.00598, Valid Loss: 0.00965, EPS: 0.739
Epoch: 29, Train Loss: 0.00600, Valid Loss: 0.00965, EPS: 0.73
Epoch: 30, Train Loss: 0.00602, Valid Loss: 0.00960, EPS: 0.721
Epoch: 31, Train Loss: 0.00594, Valid Loss: 0.00970, EPS: 0.712
Epoch: 32, Train Loss: 0.00591, Valid Loss: 0.00951, EPS: 0.703
Epoch: 33, Train Loss: 0.00590, Valid Loss: 0.00968, EPS: 0.694
Epoch: 34, Train Loss: 0.00590, Valid Loss: 0.00955, EPS: 0.685
Epoch: 35, Train Loss: 0.00583, Valid Loss: 0.00963, EPS: 0.676
Epoch: 36, Train Loss: 0.00584, Valid Loss: 0.00952, EPS: 0.667
Epoch: 37, Train Loss: 0.00582, Valid Loss: 0.00964, EPS: 0.658
Epoch: 38, Train Loss: 0.00582, Valid Loss: 0.00959, EPS: 0.649
Epoch: 39, Train Loss: 0.00578, Valid Loss: 0.00956, EPS: 0.64
Epoch: 40, Train Loss: 0.00577, Valid Loss: 0.00958, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.00579, Valid Loss: 0.00962, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.00579, Valid Loss: 0.00964, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.00575, Valid Loss: 0.00967, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.00494, Valid Loss: 0.00924, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.00441, Valid Loss: 0.00894, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.00413, Valid Loss: 0.00890, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.00400, Valid Loss: 0.00885, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.00393, Valid Loss: 0.00883, EPS: 0.559
Epoch: 49, Train Loss: 0.00387, Valid Loss: 0.00880, EPS: 0.55
Epoch: 50, Train Loss: 0.00385, Valid Loss: 0.00882, EPS: 0.541
Epoch: 51, Train Loss: 0.00381, Valid Loss: 0.00883, EPS: 0.532
Epoch: 52, Train Loss: 0.00378, Valid Loss: 0.00884, EPS: 0.523
Epoch: 53, Train Loss: 0.00375, Valid Loss: 0.00882, EPS: 0.514
Epoch: 54, Train Loss: 0.00372, Valid Loss: 0.00882, EPS: 0.505
Epoch: 55, Train Loss: 0.00369, Valid Loss: 0.00883, EPS: 0.496
Epoch: 56, Train Loss: 0.00368, Valid Loss: 0.00885, EPS: 0.4870000000000001
Epoch: 57, Train Loss: 0.00364, Valid Loss: 0.00886, EPS: 0.4780000000000001
Epoch: 58, Train Loss: 0.00362, Valid Loss: 0.00887, EPS: 0.4690000000000001
Epoch: 59, Train Loss: 0.00360, Valid Loss: 0.00889, EPS: 0.4600000000000001
Epoch: 60, Train Loss: 0.00358, Valid Loss: 0.00891, EPS: 0.45100000000000007
Epoch: 61, Train Loss: 0.00345, Valid Loss: 0.00890, EPS: 0.44200000000000006
Epoch: 62, Train Loss: 0.00343, Valid Loss: 0.00891, EPS: 0.43300000000000005
Epoch: 63, Train Loss: 0.00341, Valid Loss: 0.00887, EPS: 0.42400000000000004
Epoch: 64, Train Loss: 0.00340, Valid Loss: 0.00890, EPS: 0.41500000000000004
Epoch: 65, Train Loss: 0.00339, Valid Loss: 0.00891, EPS: 0.406
Epoch: 66, Train Loss: 0.00339, Valid Loss: 0.00890, EPS: 0.397
Epoch: 67, Train Loss: 0.00338, Valid Loss: 0.00889, EPS: 0.388
Epoch: 68, Train Loss: 0.00337, Valid Loss: 0.00889, EPS: 0.3790000000000001
Epoch: 69, Train Loss: 0.00337, Valid Loss: 0.00890, EPS: 0.3700000000000001
Epoch: 70, Train Loss: 0.00337, Valid Loss: 0.00890, EPS: 0.3610000000000001
Epoch: 71, Train Loss: 0.00335, Valid Loss: 0.00892, EPS: 0.3520000000000001
Epoch: 72, Train Loss: 0.00335, Valid Loss: 0.00891, EPS: 0.343
Epoch: 73, Train Loss: 0.00335, Valid Loss: 0.00891, EPS: 0.334
Epoch: 74, Train Loss: 0.00334, Valid Loss: 0.00891, EPS: 0.325
Epoch: 75, Train Loss: 0.00334, Valid Loss: 0.00893, EPS: 0.316
Epoch: 76, Train Loss: 0.00334, Valid Loss: 0.00892, EPS: 0.307
Epoch: 77, Train Loss: 0.00335, Valid Loss: 0.00890, EPS: 0.298
Epoch: 78, Train Loss: 0.00335, Valid Loss: 0.00894, EPS: 0.289
Epoch: 79, Train Loss: 0.00334, Valid Loss: 0.00893, EPS: 0.27999999999999997
Epoch: 80, Train Loss: 0.00334, Valid Loss: 0.00891, EPS: 0.27099999999999996
Epoch: 81, Train Loss: 0.00333, Valid Loss: 0.00890, EPS: 0.26200000000000007
Epoch: 82, Train Loss: 0.00334, Valid Loss: 0.00893, EPS: 0.25300000000000006
Epoch: 83, Train Loss: 0.00335, Valid Loss: 0.00892, EPS: 0.24400000000000005
Epoch: 84, Train Loss: 0.00335, Valid Loss: 0.00890, EPS: 0.23500000000000004
Epoch: 85, Train Loss: 0.00333, Valid Loss: 0.00890, EPS: 0.22600000000000003
Epoch: 86, Train Loss: 0.00334, Valid Loss: 0.00893, EPS: 0.21700000000000003
Epoch: 87, Train Loss: 0.00334, Valid Loss: 0.00891, EPS: 0.20800000000000002
Epoch: 88, Train Loss: 0.00334, Valid Loss: 0.00895, EPS: 0.199
Epoch: 89, Train Loss: 0.00333, Valid Loss: 0.00891, EPS: 0.19
Epoch: 90, Train Loss: 0.00334, Valid Loss: 0.00892, EPS: 0.181
Epoch: 91, Train Loss: 0.00334, Valid Loss: 0.00894, EPS: 0.172
Epoch: 92, Train Loss: 0.00334, Valid Loss: 0.00892, EPS: 0.16299999999999998
Epoch: 93, Train Loss: 0.00334, Valid Loss: 0.00894, EPS: 0.15400000000000005
Epoch: 94, Train Loss: 0.00334, Valid Loss: 0.00893, EPS: 0.14500000000000005
Epoch: 95, Train Loss: 0.00334, Valid Loss: 0.00890, EPS: 0.13600000000000004
Epoch: 96, Train Loss: 0.00333, Valid Loss: 0.00892, EPS: 0.12700000000000003
Epoch: 97, Train Loss: 0.00333, Valid Loss: 0.00892, EPS: 0.11800000000000002
Epoch: 98, Train Loss: 0.00334, Valid Loss: 0.00891, EPS: 0.10900000000000001
Epoch: 99, Train Loss: 0.00334, Valid Loss: 0.00892, EPS: 0.1
Test Loss: 0.00893
Test Loss: 0.00903
Running context window: 5 with stride: 10 with seed: 0
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.02688, Valid Loss: 0.02237, EPS: 0.991
Epoch: 1, Train Loss: 0.01852, Valid Loss: 0.01676, EPS: 0.982
Epoch: 2, Train Loss: 0.01433, Valid Loss: 0.01484, EPS: 0.973
Epoch: 3, Train Loss: 0.01184, Valid Loss: 0.01365, EPS: 0.964
Epoch: 4, Train Loss: 0.00999, Valid Loss: 0.01282, EPS: 0.955
Epoch: 5, Train Loss: 0.00881, Valid Loss: 0.01239, EPS: 0.946
Epoch: 6, Train Loss: 0.00782, Valid Loss: 0.01204, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00719, Valid Loss: 0.01178, EPS: 0.928
Epoch: 8, Train Loss: 0.00665, Valid Loss: 0.01168, EPS: 0.919
Epoch: 9, Train Loss: 0.00631, Valid Loss: 0.01157, EPS: 0.91
Epoch: 10, Train Loss: 0.00598, Valid Loss: 0.01161, EPS: 0.901
Epoch: 11, Train Loss: 0.00580, Valid Loss: 0.01147, EPS: 0.892
Epoch: 12, Train Loss: 0.00564, Valid Loss: 0.01146, EPS: 0.883
Epoch: 13, Train Loss: 0.00549, Valid Loss: 0.01141, EPS: 0.874
Epoch: 14, Train Loss: 0.00526, Valid Loss: 0.01129, EPS: 0.865
Epoch: 15, Train Loss: 0.00508, Valid Loss: 0.01141, EPS: 0.856
Epoch: 16, Train Loss: 0.00494, Valid Loss: 0.01125, EPS: 0.847
Epoch: 17, Train Loss: 0.00475, Valid Loss: 0.01122, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00456, Valid Loss: 0.01112, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00450, Valid Loss: 0.01119, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00444, Valid Loss: 0.01118, EPS: 0.811
Epoch: 21, Train Loss: 0.00448, Valid Loss: 0.01123, EPS: 0.802
Epoch: 22, Train Loss: 0.00441, Valid Loss: 0.01120, EPS: 0.793
Epoch: 23, Train Loss: 0.00434, Valid Loss: 0.01122, EPS: 0.784
Epoch: 24, Train Loss: 0.00436, Valid Loss: 0.01126, EPS: 0.775
Epoch: 25, Train Loss: 0.00433, Valid Loss: 0.01117, EPS: 0.766
Epoch: 26, Train Loss: 0.00428, Valid Loss: 0.01123, EPS: 0.757
Epoch: 27, Train Loss: 0.00425, Valid Loss: 0.01120, EPS: 0.748
Epoch: 28, Train Loss: 0.00420, Valid Loss: 0.01124, EPS: 0.739
