nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.02372, Valid Loss: 0.01857, EPS: 0.991
Epoch: 1, Train Loss: 0.01431, Valid Loss: 0.01556, EPS: 0.982
Epoch: 2, Train Loss: 0.01109, Valid Loss: 0.01353, EPS: 0.973
Epoch: 3, Train Loss: 0.00921, Valid Loss: 0.01268, EPS: 0.964
Epoch: 4, Train Loss: 0.00806, Valid Loss: 0.01203, EPS: 0.955
Epoch: 5, Train Loss: 0.00744, Valid Loss: 0.01150, EPS: 0.946
Epoch: 6, Train Loss: 0.00703, Valid Loss: 0.01162, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00668, Valid Loss: 0.01121, EPS: 0.928
Epoch: 8, Train Loss: 0.00652, Valid Loss: 0.01132, EPS: 0.919
Epoch: 9, Train Loss: 0.00635, Valid Loss: 0.01120, EPS: 0.91
Epoch: 10, Train Loss: 0.00617, Valid Loss: 0.01120, EPS: 0.901
Epoch: 11, Train Loss: 0.00614, Valid Loss: 0.01111, EPS: 0.892
Epoch: 12, Train Loss: 0.00611, Valid Loss: 0.01113, EPS: 0.883
Epoch: 13, Train Loss: 0.00599, Valid Loss: 0.01101, EPS: 0.874
Epoch: 14, Train Loss: 0.00592, Valid Loss: 0.01109, EPS: 0.865
Epoch: 15, Train Loss: 0.00587, Valid Loss: 0.01105, EPS: 0.856
Epoch: 16, Train Loss: 0.00577, Valid Loss: 0.01108, EPS: 0.847
Epoch: 17, Train Loss: 0.00587, Valid Loss: 0.01111, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00574, Valid Loss: 0.01111, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00561, Valid Loss: 0.01105, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00568, Valid Loss: 0.01119, EPS: 0.811
Epoch: 21, Train Loss: 0.00564, Valid Loss: 0.01113, EPS: 0.802
Epoch: 22, Train Loss: 0.00558, Valid Loss: 0.01094, EPS: 0.793
Epoch: 23, Train Loss: 0.00556, Valid Loss: 0.01101, EPS: 0.784
Epoch: 24, Train Loss: 0.00551, Valid Loss: 0.01097, EPS: 0.775
Epoch: 25, Train Loss: 0.00547, Valid Loss: 0.01103, EPS: 0.766
Epoch: 26, Train Loss: 0.00554, Valid Loss: 0.01097, EPS: 0.757
Epoch: 27, Train Loss: 0.00548, Valid Loss: 0.01105, EPS: 0.748
Epoch: 28, Train Loss: 0.00550, Valid Loss: 0.01103, EPS: 0.739
Epoch: 29, Train Loss: 0.00545, Valid Loss: 0.01099, EPS: 0.73
Epoch: 30, Train Loss: 0.00542, Valid Loss: 0.01098, EPS: 0.721
Epoch: 31, Train Loss: 0.00541, Valid Loss: 0.01111, EPS: 0.712
Epoch: 32, Train Loss: 0.00542, Valid Loss: 0.01102, EPS: 0.703
Epoch: 33, Train Loss: 0.00536, Valid Loss: 0.01102, EPS: 0.694
Epoch: 34, Train Loss: 0.00462, Valid Loss: 0.01058, EPS: 0.685
Epoch: 35, Train Loss: 0.00404, Valid Loss: 0.01048, EPS: 0.676
Epoch: 36, Train Loss: 0.00378, Valid Loss: 0.01043, EPS: 0.667
Epoch: 37, Train Loss: 0.00365, Valid Loss: 0.01039, EPS: 0.658
Epoch: 38, Train Loss: 0.00357, Valid Loss: 0.01039, EPS: 0.649
Epoch: 39, Train Loss: 0.00351, Valid Loss: 0.01037, EPS: 0.64
Epoch: 40, Train Loss: 0.00348, Valid Loss: 0.01039, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.00344, Valid Loss: 0.01039, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.00341, Valid Loss: 0.01038, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.00338, Valid Loss: 0.01043, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.00336, Valid Loss: 0.01046, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.00333, Valid Loss: 0.01045, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.00330, Valid Loss: 0.01051, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.00330, Valid Loss: 0.01059, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.00327, Valid Loss: 0.01060, EPS: 0.559
Epoch: 49, Train Loss: 0.00325, Valid Loss: 0.01064, EPS: 0.55
Epoch: 50, Train Loss: 0.00322, Valid Loss: 0.01069, EPS: 0.541
Epoch: 51, Train Loss: 0.00312, Valid Loss: 0.01068, EPS: 0.532
Epoch: 52, Train Loss: 0.00309, Valid Loss: 0.01068, EPS: 0.523
