nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
Epoch: 0, Alpha: 1.00, Total Train Loss: 5.22, Contrastive Train Loss: 5.22, Recon Train Loss: 1.03, Total Valid Loss: 7.37, Contrastive Valid Loss: 7.37, Recon Valid Loss: 1.05, Learning Rate: 0.0001
Epoch: 1, Alpha: 0.99, Total Train Loss: 5.16, Contrastive Train Loss: 5.21, Recon Train Loss: 0.51, Total Valid Loss: 7.31, Contrastive Valid Loss: 7.38, Recon Valid Loss: 0.39, Learning Rate: 0.0001
Epoch: 2, Alpha: 0.98, Total Train Loss: 5.09, Contrastive Train Loss: 5.19, Recon Train Loss: 0.36, Total Valid Loss: 7.27, Contrastive Valid Loss: 7.41, Recon Valid Loss: 0.36, Learning Rate: 0.0001
Epoch: 3, Alpha: 0.97, Total Train Loss: 5.03, Contrastive Train Loss: 5.17, Recon Train Loss: 0.34, Total Valid Loss: 7.19, Contrastive Valid Loss: 7.40, Recon Valid Loss: 0.35, Learning Rate: 0.0001
Epoch: 4, Alpha: 0.96, Total Train Loss: 4.97, Contrastive Train Loss: 5.16, Recon Train Loss: 0.34, Total Valid Loss: 7.15, Contrastive Valid Loss: 7.43, Recon Valid Loss: 0.35, Learning Rate: 0.0001
Epoch: 5, Alpha: 0.95, Total Train Loss: 4.90, Contrastive Train Loss: 5.14, Recon Train Loss: 0.33, Total Valid Loss: 7.10, Contrastive Valid Loss: 7.45, Recon Valid Loss: 0.34, Learning Rate: 0.0001
Epoch: 6, Alpha: 0.94, Total Train Loss: 4.85, Contrastive Train Loss: 5.13, Recon Train Loss: 0.33, Total Valid Loss: 7.03, Contrastive Valid Loss: 7.44, Recon Valid Loss: 0.34, Learning Rate: 0.0001
Epoch: 7, Alpha: 0.93, Total Train Loss: 4.79, Contrastive Train Loss: 5.12, Recon Train Loss: 0.33, Total Valid Loss: 6.99, Contrastive Valid Loss: 7.47, Recon Valid Loss: 0.34, Learning Rate: 0.0001
Epoch: 8, Alpha: 0.92, Total Train Loss: 4.74, Contrastive Train Loss: 5.10, Recon Train Loss: 0.33, Total Valid Loss: 6.94, Contrastive Valid Loss: 7.49, Recon Valid Loss: 0.33, Learning Rate: 0.0001
Epoch: 9, Alpha: 0.91, Total Train Loss: 4.68, Contrastive Train Loss: 5.09, Recon Train Loss: 0.32, Total Valid Loss: 6.87, Contrastive Valid Loss: 7.48, Recon Valid Loss: 0.33, Learning Rate: 0.0001
Epoch: 10, Alpha: 0.90, Total Train Loss: 4.63, Contrastive Train Loss: 5.08, Recon Train Loss: 0.32, Total Valid Loss: 6.81, Contrastive Valid Loss: 7.49, Recon Valid Loss: 0.33, Learning Rate: 0.0001
Epoch: 11, Alpha: 0.90, Total Train Loss: 4.58, Contrastive Train Loss: 5.07, Recon Train Loss: 0.32, Total Valid Loss: 6.75, Contrastive Valid Loss: 7.50, Recon Valid Loss: 0.33, Learning Rate: 0.0001
Epoch: 12, Alpha: 0.89, Total Train Loss: 4.52, Contrastive Train Loss: 5.06, Recon Train Loss: 0.32, Total Valid Loss: 6.70, Contrastive Valid Loss: 7.51, Recon Valid Loss: 0.33, Learning Rate: 0.0001
Epoch: 13, Alpha: 0.88, Total Train Loss: 4.47, Contrastive Train Loss: 5.05, Recon Train Loss: 0.31, Total Valid Loss: 6.65, Contrastive Valid Loss: 7.53, Recon Valid Loss: 0.32, Learning Rate: 0.0001
Epoch: 14, Alpha: 0.87, Total Train Loss: 4.43, Contrastive Train Loss: 5.04, Recon Train Loss: 0.31, Total Valid Loss: 6.56, Contrastive Valid Loss: 7.50, Recon Valid Loss: 0.32, Learning Rate: 0.0001
Epoch: 15, Alpha: 0.86, Total Train Loss: 4.38, Contrastive Train Loss: 5.04, Recon Train Loss: 0.31, Total Valid Loss: 6.51, Contrastive Valid Loss: 7.51, Recon Valid Loss: 0.32, Learning Rate: 0.0001
Epoch: 16, Alpha: 0.85, Total Train Loss: 4.33, Contrastive Train Loss: 5.03, Recon Train Loss: 0.30, Total Valid Loss: 6.49, Contrastive Valid Loss: 7.56, Recon Valid Loss: 0.31, Learning Rate: 0.0001
Epoch: 17, Alpha: 0.84, Total Train Loss: 4.28, Contrastive Train Loss: 5.02, Recon Train Loss: 0.30, Total Valid Loss: 6.42, Contrastive Valid Loss: 7.56, Recon Valid Loss: 0.31, Learning Rate: 0.0001
Epoch: 18, Alpha: 0.84, Total Train Loss: 4.24, Contrastive Train Loss: 5.01, Recon Train Loss: 0.30, Total Valid Loss: 6.34, Contrastive Valid Loss: 7.53, Recon Valid Loss: 0.31, Learning Rate: 0.0001
Epoch: 19, Alpha: 0.83, Total Train Loss: 4.19, Contrastive Train Loss: 5.01, Recon Train Loss: 0.29, Total Valid Loss: 6.31, Contrastive Valid Loss: 7.57, Recon Valid Loss: 0.31, Learning Rate: 0.0001
Epoch: 20, Alpha: 0.82, Total Train Loss: 4.14, Contrastive Train Loss: 5.00, Recon Train Loss: 0.29, Total Valid Loss: 6.25, Contrastive Valid Loss: 7.57, Recon Valid Loss: 0.30, Learning Rate: 0.0001
Epoch: 21, Alpha: 0.81, Total Train Loss: 4.11, Contrastive Train Loss: 5.00, Recon Train Loss: 0.29, Total Valid Loss: 6.20, Contrastive Valid Loss: 7.58, Recon Valid Loss: 0.30, Learning Rate: 0.0001
Epoch: 22, Alpha: 0.80, Total Train Loss: 4.06, Contrastive Train Loss: 4.99, Recon Train Loss: 0.29, Total Valid Loss: 6.18, Contrastive Valid Loss: 7.62, Recon Valid Loss: 0.30, Learning Rate: 0.0001
Epoch: 23, Alpha: 0.79, Total Train Loss: 4.02, Contrastive Train Loss: 4.98, Recon Train Loss: 0.28, Total Valid Loss: 6.10, Contrastive Valid Loss: 7.60, Recon Valid Loss: 0.30, Learning Rate: 0.0001
Epoch: 24, Alpha: 0.79, Total Train Loss: 3.98, Contrastive Train Loss: 4.98, Recon Train Loss: 0.28, Total Valid Loss: 6.04, Contrastive Valid Loss: 7.60, Recon Valid Loss: 0.30, Learning Rate: 0.0001
Epoch: 25, Alpha: 0.78, Total Train Loss: 3.93, Contrastive Train Loss: 4.97, Recon Train Loss: 0.28, Total Valid Loss: 5.98, Contrastive Valid Loss: 7.60, Recon Valid Loss: 0.29, Learning Rate: 0.0001
Epoch: 26, Alpha: 0.77, Total Train Loss: 3.90, Contrastive Train Loss: 4.97, Recon Train Loss: 0.28, Total Valid Loss: 5.96, Contrastive Valid Loss: 7.64, Recon Valid Loss: 0.29, Learning Rate: 0.0001
Epoch: 27, Alpha: 0.76, Total Train Loss: 3.85, Contrastive Train Loss: 4.96, Recon Train Loss: 0.28, Total Valid Loss: 5.88, Contrastive Valid Loss: 7.61, Recon Valid Loss: 0.29, Learning Rate: 0.0001
Epoch: 28, Alpha: 0.76, Total Train Loss: 3.81, Contrastive Train Loss: 4.96, Recon Train Loss: 0.27, Total Valid Loss: 5.81, Contrastive Valid Loss: 7.60, Recon Valid Loss: 0.29, Learning Rate: 0.0001
Epoch: 29, Alpha: 0.75, Total Train Loss: 3.77, Contrastive Train Loss: 4.95, Recon Train Loss: 0.27, Total Valid Loss: 5.79, Contrastive Valid Loss: 7.64, Recon Valid Loss: 0.29, Learning Rate: 0.0001
Epoch: 30, Alpha: 0.74, Total Train Loss: 3.74, Contrastive Train Loss: 4.95, Recon Train Loss: 0.27, Total Valid Loss: 5.75, Contrastive Valid Loss: 7.66, Recon Valid Loss: 0.28, Learning Rate: 0.0001
Epoch: 31, Alpha: 0.73, Total Train Loss: 3.70, Contrastive Train Loss: 4.94, Recon Train Loss: 0.27, Total Valid Loss: 5.66, Contrastive Valid Loss: 7.61, Recon Valid Loss: 0.28, Learning Rate: 0.0001
Epoch: 32, Alpha: 0.73, Total Train Loss: 3.66, Contrastive Train Loss: 4.94, Recon Train Loss: 0.26, Total Valid Loss: 5.60, Contrastive Valid Loss: 7.61, Recon Valid Loss: 0.28, Learning Rate: 0.0001
Epoch: 33, Alpha: 0.72, Total Train Loss: 3.62, Contrastive Train Loss: 4.94, Recon Train Loss: 0.26, Total Valid Loss: 5.58, Contrastive Valid Loss: 7.66, Recon Valid Loss: 0.28, Learning Rate: 0.0001
Epoch: 34, Alpha: 0.71, Total Train Loss: 3.59, Contrastive Train Loss: 4.93, Recon Train Loss: 0.26, Total Valid Loss: 5.54, Contrastive Valid Loss: 7.67, Recon Valid Loss: 0.27, Learning Rate: 0.0001
