torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
Training Decoder
Starting Latent Downstream Task
Epoch: 1, Train Loss: 0.5012, Valid Loss: 0.2914, LR: 0.001
Epoch: 2, Train Loss: 0.2094, Valid Loss: 0.1691, LR: 0.001
Epoch: 3, Train Loss: 0.1477, Valid Loss: 0.1523, LR: 0.001
Epoch: 4, Train Loss: 0.1221, Valid Loss: 0.1438, LR: 0.001
Epoch: 5, Train Loss: 0.1216, Valid Loss: 0.1629, LR: 0.001
Epoch: 6, Train Loss: 0.1085, Valid Loss: 0.1603, LR: 0.001
Epoch: 7, Train Loss: 0.1029, Valid Loss: 0.1574, LR: 0.001
Epoch: 8, Train Loss: 0.1043, Valid Loss: 0.1510, LR: 0.001
Epoch: 9, Train Loss: 0.0905, Valid Loss: 0.1600, LR: 0.001
Epoch: 10, Train Loss: 0.1035, Valid Loss: 0.1423, LR: 0.001
Epoch: 11, Train Loss: 0.1032, Valid Loss: 0.1668, LR: 0.001
Epoch: 12, Train Loss: 0.0942, Valid Loss: 0.1415, LR: 0.001
Epoch: 13, Train Loss: 0.0976, Valid Loss: 0.1348, LR: 0.001
Epoch: 14, Train Loss: 0.0923, Valid Loss: 0.1581, LR: 0.001
Epoch: 15, Train Loss: 0.1064, Valid Loss: 0.1808, LR: 0.001
Epoch: 16, Train Loss: 0.1011, Valid Loss: 0.1390, LR: 0.001
Epoch: 17, Train Loss: 0.1002, Valid Loss: 0.1505, LR: 0.001
Epoch: 18, Train Loss: 0.1032, Valid Loss: 0.1543, LR: 0.001
Epoch: 19, Train Loss: 0.1017, Valid Loss: 0.1507, LR: 0.001
Epoch: 20, Train Loss: 0.0952, Valid Loss: 0.1692, LR: 0.001
Epoch: 21, Train Loss: 0.0929, Valid Loss: 0.1589, LR: 0.001
Epoch: 22, Train Loss: 0.0981, Valid Loss: 0.1870, LR: 0.001
Epoch: 23, Train Loss: 0.1151, Valid Loss: 0.1580, LR: 0.001
Epoch: 24, Train Loss: 0.0962, Valid Loss: 0.1520, LR: 0.0001
Epoch: 25, Train Loss: 0.0832, Valid Loss: 0.1353, LR: 0.0001
Epoch: 26, Train Loss: 0.0775, Valid Loss: 0.1368, LR: 0.0001
Epoch: 27, Train Loss: 0.0694, Valid Loss: 0.1380, LR: 0.0001
Epoch: 28, Train Loss: 0.0709, Valid Loss: 0.1370, LR: 0.0001
Epoch: 29, Train Loss: 0.0628, Valid Loss: 0.1325, LR: 0.0001
Epoch: 30, Train Loss: 0.0583, Valid Loss: 0.1360, LR: 0.0001
Epoch: 31, Train Loss: 0.0566, Valid Loss: 0.1368, LR: 0.0001
Epoch: 32, Train Loss: 0.0585, Valid Loss: 0.1405, LR: 0.0001
Epoch: 33, Train Loss: 0.0641, Valid Loss: 0.1443, LR: 0.0001
Epoch: 34, Train Loss: 0.0534, Valid Loss: 0.1435, LR: 0.0001
Epoch: 35, Train Loss: 0.0564, Valid Loss: 0.1365, LR: 0.0001
Epoch: 36, Train Loss: 0.0558, Valid Loss: 0.1465, LR: 0.0001
Epoch: 37, Train Loss: 0.0513, Valid Loss: 0.1332, LR: 0.0001
Epoch: 38, Train Loss: 0.0495, Valid Loss: 0.1546, LR: 0.0001
Epoch: 39, Train Loss: 0.0554, Valid Loss: 0.1440, LR: 0.0001
Epoch: 40, Train Loss: 0.0509, Valid Loss: 0.1427, LR: 1e-05
Epoch: 41, Train Loss: 0.0486, Valid Loss: 0.1438, LR: 1e-05
Epoch: 42, Train Loss: 0.0458, Valid Loss: 0.1389, LR: 1e-05
Epoch: 43, Train Loss: 0.0460, Valid Loss: 0.1417, LR: 1e-05
Epoch: 44, Train Loss: 0.0466, Valid Loss: 0.1443, LR: 1e-05
Epoch: 45, Train Loss: 0.0508, Valid Loss: 0.1418, LR: 1e-05
Epoch: 46, Train Loss: 0.0505, Valid Loss: 0.1360, LR: 1e-05
Epoch: 47, Train Loss: 0.0499, Valid Loss: 0.1416, LR: 1e-05
Epoch: 48, Train Loss: 0.0453, Valid Loss: 0.1423, LR: 1e-05
Epoch: 49, Train Loss: 0.0495, Valid Loss: 0.1404, LR: 1e-05
Epoch: 50, Train Loss: 0.0474, Valid Loss: 0.1352, LR: 1e-05
Epoch: 51, Train Loss: 0.0478, Valid Loss: 0.1419, LR: 1.0000000000000002e-06
Epoch: 52, Train Loss: 0.0506, Valid Loss: 0.1349, LR: 1.0000000000000002e-06
Epoch: 53, Train Loss: 0.0478, Valid Loss: 0.1353, LR: 1.0000000000000002e-06
Epoch: 54, Train Loss: 0.0461, Valid Loss: 0.1388, LR: 1.0000000000000002e-06
Epoch: 55, Train Loss: 0.0468, Valid Loss: 0.1427, LR: 1.0000000000000002e-06
