nohup: ignoring input
Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Starting Downstream Task
Running context window: 5 with stride: 5 with seed: 0
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.02087, Valid Loss: 0.01305, EPS: 0.991
Epoch: 1, Train Loss: 0.01224, Valid Loss: 0.01142, EPS: 0.982
Epoch: 2, Train Loss: 0.01114, Valid Loss: 0.01075, EPS: 0.973
Epoch: 3, Train Loss: 0.01041, Valid Loss: 0.01010, EPS: 0.964
Epoch: 4, Train Loss: 0.00956, Valid Loss: 0.00952, EPS: 0.955
Epoch: 5, Train Loss: 0.00865, Valid Loss: 0.00878, EPS: 0.946
Epoch: 6, Train Loss: 0.00780, Valid Loss: 0.00843, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00718, Valid Loss: 0.00802, EPS: 0.928
Epoch: 8, Train Loss: 0.00672, Valid Loss: 0.00764, EPS: 0.919
Epoch: 9, Train Loss: 0.00631, Valid Loss: 0.00747, EPS: 0.91
Epoch: 10, Train Loss: 0.00605, Valid Loss: 0.00719, EPS: 0.901
Epoch: 11, Train Loss: 0.00585, Valid Loss: 0.00713, EPS: 0.892
Epoch: 12, Train Loss: 0.00566, Valid Loss: 0.00715, EPS: 0.883
Epoch: 13, Train Loss: 0.00558, Valid Loss: 0.00694, EPS: 0.874
Epoch: 14, Train Loss: 0.00552, Valid Loss: 0.00701, EPS: 0.865
Epoch: 15, Train Loss: 0.00545, Valid Loss: 0.00695, EPS: 0.856
Epoch: 16, Train Loss: 0.00540, Valid Loss: 0.00690, EPS: 0.847
Epoch: 17, Train Loss: 0.00531, Valid Loss: 0.00680, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00529, Valid Loss: 0.00679, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00524, Valid Loss: 0.00677, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00521, Valid Loss: 0.00667, EPS: 0.811
Epoch: 21, Train Loss: 0.00515, Valid Loss: 0.00667, EPS: 0.802
Epoch: 22, Train Loss: 0.00517, Valid Loss: 0.00673, EPS: 0.793
Epoch: 23, Train Loss: 0.00516, Valid Loss: 0.00669, EPS: 0.784
Epoch: 24, Train Loss: 0.00513, Valid Loss: 0.00662, EPS: 0.775
Epoch: 25, Train Loss: 0.00506, Valid Loss: 0.00662, EPS: 0.766
Epoch: 26, Train Loss: 0.00508, Valid Loss: 0.00667, EPS: 0.757
Epoch: 27, Train Loss: 0.00500, Valid Loss: 0.00663, EPS: 0.748
Epoch: 28, Train Loss: 0.00498, Valid Loss: 0.00656, EPS: 0.739
Epoch: 29, Train Loss: 0.00496, Valid Loss: 0.00663, EPS: 0.73
Epoch: 30, Train Loss: 0.00498, Valid Loss: 0.00656, EPS: 0.721
Epoch: 31, Train Loss: 0.00495, Valid Loss: 0.00663, EPS: 0.712
Epoch: 32, Train Loss: 0.00491, Valid Loss: 0.00654, EPS: 0.703
Epoch: 33, Train Loss: 0.00488, Valid Loss: 0.00657, EPS: 0.694
Epoch: 34, Train Loss: 0.00488, Valid Loss: 0.00652, EPS: 0.685
Epoch: 35, Train Loss: 0.00486, Valid Loss: 0.00656, EPS: 0.676
Epoch: 36, Train Loss: 0.00486, Valid Loss: 0.00655, EPS: 0.667
Epoch: 37, Train Loss: 0.00492, Valid Loss: 0.00655, EPS: 0.658
Epoch: 38, Train Loss: 0.00486, Valid Loss: 0.00655, EPS: 0.649
Epoch: 39, Train Loss: 0.00484, Valid Loss: 0.00660, EPS: 0.64
Epoch: 40, Train Loss: 0.00479, Valid Loss: 0.00649, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.00481, Valid Loss: 0.00652, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.00476, Valid Loss: 0.00645, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.00476, Valid Loss: 0.00654, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.00479, Valid Loss: 0.00647, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.00479, Valid Loss: 0.00652, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.00481, Valid Loss: 0.00649, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.00480, Valid Loss: 0.00654, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.00478, Valid Loss: 0.00653, EPS: 0.559
Epoch: 49, Train Loss: 0.00475, Valid Loss: 0.00650, EPS: 0.55
Epoch: 50, Train Loss: 0.00478, Valid Loss: 0.00653, EPS: 0.541
Epoch: 51, Train Loss: 0.00479, Valid Loss: 0.00642, EPS: 0.532
Epoch: 52, Train Loss: 0.00478, Valid Loss: 0.00644, EPS: 0.523
Epoch: 53, Train Loss: 0.00475, Valid Loss: 0.00642, EPS: 0.514
Epoch: 54, Train Loss: 0.00476, Valid Loss: 0.00645, EPS: 0.505
Epoch: 55, Train Loss: 0.00476, Valid Loss: 0.00642, EPS: 0.496
Epoch: 56, Train Loss: 0.00469, Valid Loss: 0.00649, EPS: 0.4870000000000001
Epoch: 57, Train Loss: 0.00469, Valid Loss: 0.00639, EPS: 0.4780000000000001
Epoch: 58, Train Loss: 0.00469, Valid Loss: 0.00637, EPS: 0.4690000000000001
Epoch: 59, Train Loss: 0.00473, Valid Loss: 0.00640, EPS: 0.4600000000000001
Epoch: 60, Train Loss: 0.00467, Valid Loss: 0.00639, EPS: 0.45100000000000007
Epoch: 61, Train Loss: 0.00470, Valid Loss: 0.00641, EPS: 0.44200000000000006
Epoch: 62, Train Loss: 0.00470, Valid Loss: 0.00645, EPS: 0.43300000000000005
Epoch: 63, Train Loss: 0.00467, Valid Loss: 0.00640, EPS: 0.42400000000000004
Epoch: 64, Train Loss: 0.00465, Valid Loss: 0.00638, EPS: 0.41500000000000004
Epoch: 65, Train Loss: 0.00465, Valid Loss: 0.00641, EPS: 0.406
Epoch: 66, Train Loss: 0.00469, Valid Loss: 0.00642, EPS: 0.397
Epoch: 67, Train Loss: 0.00467, Valid Loss: 0.00643, EPS: 0.388
Epoch: 68, Train Loss: 0.00468, Valid Loss: 0.00650, EPS: 0.3790000000000001
Epoch: 69, Train Loss: 0.00466, Valid Loss: 0.00646, EPS: 0.3700000000000001
Epoch: 70, Train Loss: 0.00409, Valid Loss: 0.00609, EPS: 0.3610000000000001
Epoch: 71, Train Loss: 0.00381, Valid Loss: 0.00597, EPS: 0.3520000000000001
Epoch: 72, Train Loss: 0.00363, Valid Loss: 0.00584, EPS: 0.343
Epoch: 73, Train Loss: 0.00354, Valid Loss: 0.00581, EPS: 0.334
Epoch: 74, Train Loss: 0.00348, Valid Loss: 0.00582, EPS: 0.325
Epoch: 75, Train Loss: 0.00346, Valid Loss: 0.00580, EPS: 0.316
Epoch: 76, Train Loss: 0.00344, Valid Loss: 0.00578, EPS: 0.307
Epoch: 77, Train Loss: 0.00342, Valid Loss: 0.00579, EPS: 0.298
Epoch: 78, Train Loss: 0.00341, Valid Loss: 0.00579, EPS: 0.289
Epoch: 79, Train Loss: 0.00340, Valid Loss: 0.00581, EPS: 0.27999999999999997
Epoch: 80, Train Loss: 0.00338, Valid Loss: 0.00580, EPS: 0.27099999999999996
Epoch: 81, Train Loss: 0.00336, Valid Loss: 0.00580, EPS: 0.26200000000000007
Epoch: 82, Train Loss: 0.00337, Valid Loss: 0.00581, EPS: 0.25300000000000006
Epoch: 83, Train Loss: 0.00337, Valid Loss: 0.00579, EPS: 0.24400000000000005
Epoch: 84, Train Loss: 0.00335, Valid Loss: 0.00583, EPS: 0.23500000000000004
Epoch: 85, Train Loss: 0.00333, Valid Loss: 0.00579, EPS: 0.22600000000000003
Epoch: 86, Train Loss: 0.00332, Valid Loss: 0.00583, EPS: 0.21700000000000003
Epoch: 87, Train Loss: 0.00333, Valid Loss: 0.00580, EPS: 0.20800000000000002
Epoch: 88, Train Loss: 0.00323, Valid Loss: 0.00577, EPS: 0.199
Epoch: 89, Train Loss: 0.00318, Valid Loss: 0.00579, EPS: 0.19
Epoch: 90, Train Loss: 0.00317, Valid Loss: 0.00576, EPS: 0.181
Epoch: 91, Train Loss: 0.00316, Valid Loss: 0.00578, EPS: 0.172
Epoch: 92, Train Loss: 0.00315, Valid Loss: 0.00577, EPS: 0.16299999999999998
Epoch: 93, Train Loss: 0.00315, Valid Loss: 0.00578, EPS: 0.15400000000000005
Epoch: 94, Train Loss: 0.00314, Valid Loss: 0.00578, EPS: 0.14500000000000005
Epoch: 95, Train Loss: 0.00313, Valid Loss: 0.00577, EPS: 0.13600000000000004
Epoch: 96, Train Loss: 0.00313, Valid Loss: 0.00579, EPS: 0.12700000000000003
Epoch: 97, Train Loss: 0.00313, Valid Loss: 0.00579, EPS: 0.11800000000000002
Epoch: 98, Train Loss: 0.00313, Valid Loss: 0.00577, EPS: 0.10900000000000001
Epoch: 99, Train Loss: 0.00311, Valid Loss: 0.00577, EPS: 0.1
Test Loss: 0.00579
Test Loss: 0.00587
Running context window: 5 with stride: 10 with seed: 0
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.02523, Valid Loss: 0.01699, EPS: 0.991
Epoch: 1, Train Loss: 0.01454, Valid Loss: 0.01253, EPS: 0.982
Epoch: 2, Train Loss: 0.01207, Valid Loss: 0.01193, EPS: 0.973
Epoch: 3, Train Loss: 0.01136, Valid Loss: 0.01134, EPS: 0.964
Epoch: 4, Train Loss: 0.01081, Valid Loss: 0.01093, EPS: 0.955
Epoch: 5, Train Loss: 0.01030, Valid Loss: 0.01052, EPS: 0.946
Epoch: 6, Train Loss: 0.00977, Valid Loss: 0.01019, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00909, Valid Loss: 0.00977, EPS: 0.928
Epoch: 8, Train Loss: 0.00840, Valid Loss: 0.00946, EPS: 0.919
Epoch: 9, Train Loss: 0.00779, Valid Loss: 0.00925, EPS: 0.91
Epoch: 10, Train Loss: 0.00731, Valid Loss: 0.00903, EPS: 0.901
Epoch: 11, Train Loss: 0.00673, Valid Loss: 0.00859, EPS: 0.892
Epoch: 12, Train Loss: 0.00632, Valid Loss: 0.00840, EPS: 0.883
Epoch: 13, Train Loss: 0.00597, Valid Loss: 0.00850, EPS: 0.874
Epoch: 14, Train Loss: 0.00559, Valid Loss: 0.00836, EPS: 0.865
Epoch: 15, Train Loss: 0.00540, Valid Loss: 0.00813, EPS: 0.856
Epoch: 16, Train Loss: 0.00512, Valid Loss: 0.00804, EPS: 0.847
Epoch: 17, Train Loss: 0.00492, Valid Loss: 0.00794, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00478, Valid Loss: 0.00781, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00461, Valid Loss: 0.00781, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00462, Valid Loss: 0.00775, EPS: 0.811
Epoch: 21, Train Loss: 0.00463, Valid Loss: 0.00775, EPS: 0.802
Epoch: 22, Train Loss: 0.00446, Valid Loss: 0.00770, EPS: 0.793
Epoch: 23, Train Loss: 0.00443, Valid Loss: 0.00770, EPS: 0.784
Epoch: 24, Train Loss: 0.00442, Valid Loss: 0.00776, EPS: 0.775
Epoch: 25, Train Loss: 0.00430, Valid Loss: 0.00777, EPS: 0.766
Epoch: 26, Train Loss: 0.00428, Valid Loss: 0.00751, EPS: 0.757
Epoch: 27, Train Loss: 0.00417, Valid Loss: 0.00761, EPS: 0.748
Epoch: 28, Train Loss: 0.00412, Valid Loss: 0.00757, EPS: 0.739
