nohup: ignoring input
torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.00351, Valid Loss: 0.05091, EPS: 0.991
Epoch: 1, Train Loss: 0.00196, Valid Loss: 0.02293, EPS: 0.982
Epoch: 2, Train Loss: 0.00179, Valid Loss: 0.02922, EPS: 0.973
Epoch: 3, Train Loss: 0.00172, Valid Loss: 0.03053, EPS: 0.964
Epoch: 4, Train Loss: 0.00166, Valid Loss: 0.02671, EPS: 0.955
Epoch: 5, Train Loss: 0.00166, Valid Loss: 0.02619, EPS: 0.946
Epoch: 6, Train Loss: 0.00164, Valid Loss: 0.03433, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00165, Valid Loss: 0.02799, EPS: 0.928
Epoch: 8, Train Loss: 0.00166, Valid Loss: 0.02208, EPS: 0.919
Epoch: 9, Train Loss: 0.00166, Valid Loss: 0.02916, EPS: 0.91
/usr/lib/python3.12/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 60 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
, Valid Loss: 0.01240, EPS: 0.874
Epoch: 14, Train Loss: 0.00773, Valid Loss: 0.02169, EPS: 0.865
Epoch: 15, Train Loss: 0.00705, Valid Loss: 0.02057, EPS: 0.856
Epoch: 16, Train Loss: 0.00739, Valid Loss: 0.09576, EPS: 0.847
Epoch: 17, Train Loss: 0.00725, Valid Loss: 0.01041, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00770, Valid Loss: 0.03732, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.01552, Valid Loss: 0.00945, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00809, Valid Loss: 0.01063, EPS: 0.811
Epoch: 21, Train Loss: 0.08896, Valid Loss: 0.05704, EPS: 0.802
Epoch: 22, Train Loss: 0.08963, Valid Loss: 0.02753, EPS: 0.793
Epoch: 23, Train Loss: 0.05632, Valid Loss: 0.01694, EPS: 0.784
Epoch: 24, Train Loss: 0.03299, Valid Loss: 0.01586, EPS: 0.775
Epoch: 25, Train Loss: 0.03012, Valid Loss: 0.01513, EPS: 0.766
Epoch: 26, Train Loss: 0.02885, Valid Loss: 0.01847, EPS: 0.757
Epoch: 27, Train Loss: 0.03123, Valid Loss: 0.01803, EPS: 0.748
Epoch: 28, Train Loss: 0.02980, Valid Loss: 0.01693, EPS: 0.739
Epoch: 29, Train Loss: 0.02867, Valid Loss: 0.01672, EPS: 0.73
Epoch: 30, Train Loss: 0.02732, Valid Loss: 0.01652, EPS: 0.721
Epoch: 31, Train Loss: 0.02630, Valid Loss: 0.01633, EPS: 0.712
Epoch: 32, Train Loss: 0.02523, Valid Loss: 0.01615, EPS: 0.703
Epoch: 33, Train Loss: 0.02420, Valid Loss: 0.01592, EPS: 0.694
Epoch: 34, Train Loss: 0.02350, Valid Loss: 0.01574, EPS: 0.685
Epoch: 35, Train Loss: 0.02327, Valid Loss: 0.01573, EPS: 0.676
Epoch: 36, Train Loss: 0.02310, Valid Loss: 0.01573, EPS: 0.667
Epoch: 37, Train Loss: 0.02288, Valid Loss: 0.01569, EPS: 0.658
Epoch: 38, Train Loss: 0.02288, Valid Loss: 0.01563, EPS: 0.649
Epoch: 39, Train Loss: 0.02255, Valid Loss: 0.01563, EPS: 0.64
Epoch: 40, Train Loss: 0.02232, Valid Loss: 0.01560, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.02210, Valid Loss: 0.01555, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.02180, Valid Loss: 0.01552, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.02165, Valid Loss: 0.01547, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.02143, Valid Loss: 0.01544, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.02128, Valid Loss: 0.01540, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.02107, Valid Loss: 0.01539, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.02110, Valid Loss: 0.01538, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.02095, Valid Loss: 0.01538, EPS: 0.559
Epoch: 49, Train Loss: 0.02088, Valid Loss: 0.01537, EPS: 0.55
Epoch: 50, Train Loss: 0.02065, Valid Loss: 0.01536, EPS: 0.541
Epoch: 51, Train Loss: 0.02042, Valid Loss: 0.01538, EPS: 0.532
Epoch: 52, Train Loss: 0.02044, Valid Loss: 0.01535, EPS: 0.523
Epoch: 53, Train Loss: 0.02030, Valid Loss: 0.01534, EPS: 0.514
