torch.Size([14031, 5, 64, 32])
torch.Size([4677, 5, 64, 32])
torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Fine Tuning Both
Starting Downstream Task
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
/vol/bitbucket/nb324/masters_project/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:385: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.num_heads is odd
  warnings.warn(
Epoch: 0, Train Loss: 0.0753326866, Valid Loss: 0.0417902206, LR: 0.001
Epoch: 1, Train Loss: 0.0414086998, Valid Loss: 0.0405676057, LR: 0.001
Epoch: 2, Train Loss: 0.0405319298, Valid Loss: 0.0395641665, LR: 0.001
Epoch: 3, Train Loss: 0.0395057254, Valid Loss: 0.0388276296, LR: 0.001
Epoch: 4, Train Loss: 0.0389067078, Valid Loss: 0.0385448496, LR: 0.001
Epoch: 5, Train Loss: 0.0386017101, Valid Loss: 0.0382874191, LR: 0.001
Epoch: 6, Train Loss: 0.0382549721, Valid Loss: 0.0379968313, LR: 0.001
Epoch: 7, Train Loss: 0.0379076740, Valid Loss: 0.0377414939, LR: 0.001
Epoch: 8, Train Loss: 0.0376154818, Valid Loss: 0.0375837261, LR: 0.001
Epoch: 9, Train Loss: 0.0372615336, Valid Loss: 0.0375343944, LR: 0.001
Epoch: 10, Train Loss: 0.0369957255, Valid Loss: 0.0374208309, LR: 0.001
Epoch: 11, Train Loss: 0.0366891080, Valid Loss: 0.0373565699, LR: 0.001
Epoch: 12, Train Loss: 0.0364590011, Valid Loss: 0.0371947678, LR: 0.001
Epoch: 13, Train Loss: 0.0362082577, Valid Loss: 0.0371764762, LR: 0.001
Epoch: 14, Train Loss: 0.0358592370, Valid Loss: 0.0370149255, LR: 0.001
Epoch: 15, Train Loss: 0.0355961100, Valid Loss: 0.0369637452, LR: 0.001
Epoch: 16, Train Loss: 0.0353020177, Valid Loss: 0.0369715571, LR: 0.001
Epoch: 17, Train Loss: 0.0350506900, Valid Loss: 0.0369406506, LR: 0.001
Epoch: 18, Train Loss: 0.0348616459, Valid Loss: 0.0368976653, LR: 0.001
Epoch: 19, Train Loss: 0.0346135404, Valid Loss: 0.0372208178, LR: 0.001
Epoch: 20, Train Loss: 0.0344050234, Valid Loss: 0.0371110164, LR: 0.001
Epoch: 21, Train Loss: 0.0341269776, Valid Loss: 0.0371457964, LR: 0.001
Epoch: 22, Train Loss: 0.0338937010, Valid Loss: 0.0371350187, LR: 0.001
Epoch: 23, Train Loss: 0.0335642703, Valid Loss: 0.0373300423, LR: 0.001
Epoch: 24, Train Loss: 0.0333427435, Valid Loss: 0.0373990864, LR: 0.001
Epoch: 25, Train Loss: 0.0330225235, Valid Loss: 0.0378018893, LR: 0.001
Epoch: 26, Train Loss: 0.0329119842, Valid Loss: 0.0376637911, LR: 0.001
Epoch: 27, Train Loss: 0.0325410453, Valid Loss: 0.0379010759, LR: 0.001
Epoch: 28, Train Loss: 0.0321978435, Valid Loss: 0.0381008804, LR: 0.001
Epoch: 29, Train Loss: 0.0320161572, Valid Loss: 0.0384466752, LR: 0.001
Epoch: 30, Train Loss: 0.0307387765, Valid Loss: 0.0381852383, LR: 0.0001
Epoch: 31, Train Loss: 0.0304370821, Valid Loss: 0.0383450364, LR: 0.0001
Epoch: 32, Train Loss: 0.0303237612, Valid Loss: 0.0385027739, LR: 0.0001
Epoch: 33, Train Loss: 0.0302635039, Valid Loss: 0.0386624781, LR: 0.0001
Epoch: 34, Train Loss: 0.0301801490, Valid Loss: 0.0387569594, LR: 0.0001
Epoch: 35, Train Loss: 0.0301086097, Valid Loss: 0.0388800509, LR: 0.0001
Epoch: 36, Train Loss: 0.0300342087, Valid Loss: 0.0389499334, LR: 0.0001
Epoch: 37, Train Loss: 0.0299820350, Valid Loss: 0.0390909215, LR: 0.0001
Epoch: 38, Train Loss: 0.0299172595, Valid Loss: 0.0392309353, LR: 0.0001
Epoch: 39, Train Loss: 0.0298714095, Valid Loss: 0.0393247185, LR: 0.0001
Epoch: 40, Train Loss: 0.0297867536, Valid Loss: 0.0394177241, LR: 0.0001
Epoch: 41, Train Loss: 0.0296447742, Valid Loss: 0.0394176046, LR: 1e-05
Epoch: 42, Train Loss: 0.0295974940, Valid Loss: 0.0394440708, LR: 1e-05
Epoch: 43, Train Loss: 0.0295911626, Valid Loss: 0.0394746487, LR: 1e-05
Epoch: 44, Train Loss: 0.0295900091, Valid Loss: 0.0394752455, LR: 1e-05
Epoch: 45, Train Loss: 0.0295625912, Valid Loss: 0.0395035831, LR: 1e-05
Epoch: 46, Train Loss: 0.0295785648, Valid Loss: 0.0395281290, LR: 1e-05
Epoch: 47, Train Loss: 0.0295648082, Valid Loss: 0.0395428983, LR: 1e-05
