Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Starting Downstream Task
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.04600, Valid Loss: 0.03151, EPS: 0.991
Epoch: 1, Train Loss: 0.02765, Valid Loss: 0.02579, EPS: 0.982
Epoch: 2, Train Loss: 0.02210, Valid Loss: 0.02270, EPS: 0.973
Epoch: 3, Train Loss: 0.01869, Valid Loss: 0.02079, EPS: 0.964
Epoch: 4, Train Loss: 0.01635, Valid Loss: 0.01974, EPS: 0.955
Epoch: 5, Train Loss: 0.01475, Valid Loss: 0.01913, EPS: 0.946
Epoch: 6, Train Loss: 0.01356, Valid Loss: 0.01872, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.01262, Valid Loss: 0.01849, EPS: 0.928
Epoch: 8, Train Loss: 0.01186, Valid Loss: 0.01822, EPS: 0.919
Epoch: 9, Train Loss: 0.01134, Valid Loss: 0.01818, EPS: 0.91
Epoch: 10, Train Loss: 0.01097, Valid Loss: 0.01787, EPS: 0.901
Epoch: 11, Train Loss: 0.01067, Valid Loss: 0.01792, EPS: 0.892
Epoch: 12, Train Loss: 0.01032, Valid Loss: 0.01795, EPS: 0.883
Epoch: 13, Train Loss: 0.01009, Valid Loss: 0.01805, EPS: 0.874
Epoch: 14, Train Loss: 0.00996, Valid Loss: 0.01777, EPS: 0.865
Epoch: 15, Train Loss: 0.00982, Valid Loss: 0.01765, EPS: 0.856
Epoch: 16, Train Loss: 0.00969, Valid Loss: 0.01771, EPS: 0.847
Epoch: 17, Train Loss: 0.00949, Valid Loss: 0.01765, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00938, Valid Loss: 0.01764, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00924, Valid Loss: 0.01778, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00922, Valid Loss: 0.01769, EPS: 0.811
Epoch: 21, Train Loss: 0.00916, Valid Loss: 0.01767, EPS: 0.802
Epoch: 22, Train Loss: 0.00910, Valid Loss: 0.01784, EPS: 0.793
Epoch: 23, Train Loss: 0.00909, Valid Loss: 0.01769, EPS: 0.784
Epoch: 24, Train Loss: 0.00897, Valid Loss: 0.01778, EPS: 0.775
Epoch: 25, Train Loss: 0.00881, Valid Loss: 0.01776, EPS: 0.766
Epoch: 26, Train Loss: 0.00858, Valid Loss: 0.01752, EPS: 0.757
Epoch: 27, Train Loss: 0.00865, Valid Loss: 0.01784, EPS: 0.748
Epoch: 28, Train Loss: 0.00872, Valid Loss: 0.01766, EPS: 0.739
Epoch: 29, Train Loss: 0.00871, Valid Loss: 0.01769, EPS: 0.73
Epoch: 30, Train Loss: 0.00872, Valid Loss: 0.01773, EPS: 0.721
Epoch: 31, Train Loss: 0.00865, Valid Loss: 0.01795, EPS: 0.712
Epoch: 32, Train Loss: 0.00852, Valid Loss: 0.01759, EPS: 0.703
Epoch: 33, Train Loss: 0.00839, Valid Loss: 0.01756, EPS: 0.694
Epoch: 34, Train Loss: 0.00836, Valid Loss: 0.01743, EPS: 0.685
Epoch: 35, Train Loss: 0.00833, Valid Loss: 0.01750, EPS: 0.676
Epoch: 36, Train Loss: 0.00824, Valid Loss: 0.01752, EPS: 0.667
Epoch: 37, Train Loss: 0.00831, Valid Loss: 0.01776, EPS: 0.658
Epoch: 38, Train Loss: 0.00822, Valid Loss: 0.01770, EPS: 0.649
Epoch: 39, Train Loss: 0.00819, Valid Loss: 0.01787, EPS: 0.64
Epoch: 40, Train Loss: 0.00821, Valid Loss: 0.01761, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.00824, Valid Loss: 0.01783, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.00818, Valid Loss: 0.01764, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.00812, Valid Loss: 0.01784, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.00809, Valid Loss: 0.01788, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.00814, Valid Loss: 0.01772, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.00694, Valid Loss: 0.01683, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.00589, Valid Loss: 0.01643, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.00539, Valid Loss: 0.01631, EPS: 0.559
Epoch: 49, Train Loss: 0.00516, Valid Loss: 0.01625, EPS: 0.55
Epoch: 50, Train Loss: 0.00504, Valid Loss: 0.01620, EPS: 0.541
Epoch: 51, Train Loss: 0.00496, Valid Loss: 0.01619, EPS: 0.532
Epoch: 52, Train Loss: 0.00491, Valid Loss: 0.01615, EPS: 0.523
Epoch: 53, Train Loss: 0.00486, Valid Loss: 0.01610, EPS: 0.514
Epoch: 54, Train Loss: 0.00481, Valid Loss: 0.01610, EPS: 0.505
Epoch: 55, Train Loss: 0.00476, Valid Loss: 0.01615, EPS: 0.496
Epoch: 56, Train Loss: 0.00474, Valid Loss: 0.01615, EPS: 0.4870000000000001
Epoch: 57, Train Loss: 0.00471, Valid Loss: 0.01618, EPS: 0.4780000000000001
Epoch: 58, Train Loss: 0.00469, Valid Loss: 0.01613, EPS: 0.4690000000000001
Epoch: 59, Train Loss: 0.00466, Valid Loss: 0.01614, EPS: 0.4600000000000001
Epoch: 60, Train Loss: 0.00466, Valid Loss: 0.01613, EPS: 0.45100000000000007
Epoch: 61, Train Loss: 0.00459, Valid Loss: 0.01608, EPS: 0.44200000000000006
Epoch: 62, Train Loss: 0.00458, Valid Loss: 0.01610, EPS: 0.43300000000000005
Epoch: 63, Train Loss: 0.00456, Valid Loss: 0.01611, EPS: 0.42400000000000004
Epoch: 64, Train Loss: 0.00451, Valid Loss: 0.01614, EPS: 0.41500000000000004
Epoch: 65, Train Loss: 0.00451, Valid Loss: 0.01615, EPS: 0.406
Epoch: 66, Train Loss: 0.00447, Valid Loss: 0.01617, EPS: 0.397
Epoch: 67, Train Loss: 0.00444, Valid Loss: 0.01613, EPS: 0.388
Epoch: 68, Train Loss: 0.00438, Valid Loss: 0.01612, EPS: 0.3790000000000001
Epoch: 69, Train Loss: 0.00433, Valid Loss: 0.01616, EPS: 0.3700000000000001
Epoch: 70, Train Loss: 0.00432, Valid Loss: 0.01621, EPS: 0.3610000000000001
Epoch: 71, Train Loss: 0.00428, Valid Loss: 0.01623, EPS: 0.3520000000000001
Epoch: 72, Train Loss: 0.00426, Valid Loss: 0.01629, EPS: 0.343
Epoch: 73, Train Loss: 0.00405, Valid Loss: 0.01620, EPS: 0.334
Epoch: 74, Train Loss: 0.00398, Valid Loss: 0.01614, EPS: 0.325
Epoch: 75, Train Loss: 0.00393, Valid Loss: 0.01614, EPS: 0.316
Epoch: 76, Train Loss: 0.00392, Valid Loss: 0.01617, EPS: 0.307
Epoch: 77, Train Loss: 0.00389, Valid Loss: 0.01615, EPS: 0.298
Epoch: 78, Train Loss: 0.00389, Valid Loss: 0.01616, EPS: 0.289
Epoch: 79, Train Loss: 0.00388, Valid Loss: 0.01619, EPS: 0.27999999999999997
Epoch: 80, Train Loss: 0.00386, Valid Loss: 0.01618, EPS: 0.27099999999999996
Epoch: 81, Train Loss: 0.00385, Valid Loss: 0.01618, EPS: 0.26200000000000007
Epoch: 82, Train Loss: 0.00384, Valid Loss: 0.01624, EPS: 0.25300000000000006
Epoch: 83, Train Loss: 0.00386, Valid Loss: 0.01622, EPS: 0.24400000000000005
Epoch: 84, Train Loss: 0.00381, Valid Loss: 0.01617, EPS: 0.23500000000000004
Epoch: 85, Train Loss: 0.00381, Valid Loss: 0.01618, EPS: 0.22600000000000003
Epoch: 86, Train Loss: 0.00383, Valid Loss: 0.01621, EPS: 0.21700000000000003
Epoch: 87, Train Loss: 0.00381, Valid Loss: 0.01617, EPS: 0.20800000000000002
Epoch: 88, Train Loss: 0.00380, Valid Loss: 0.01619, EPS: 0.199
Epoch: 89, Train Loss: 0.00381, Valid Loss: 0.01624, EPS: 0.19
Epoch: 90, Train Loss: 0.00381, Valid Loss: 0.01622, EPS: 0.181
Epoch: 91, Train Loss: 0.00380, Valid Loss: 0.01618, EPS: 0.172
Epoch: 92, Train Loss: 0.00380, Valid Loss: 0.01625, EPS: 0.16299999999999998
Epoch: 93, Train Loss: 0.00380, Valid Loss: 0.01625, EPS: 0.15400000000000005
Epoch: 94, Train Loss: 0.00380, Valid Loss: 0.01623, EPS: 0.14500000000000005
Epoch: 95, Train Loss: 0.00381, Valid Loss: 0.01619, EPS: 0.13600000000000004
Epoch: 96, Train Loss: 0.00381, Valid Loss: 0.01622, EPS: 0.12700000000000003
Epoch: 97, Train Loss: 0.00379, Valid Loss: 0.01620, EPS: 0.11800000000000002
Epoch: 98, Train Loss: 0.00380, Valid Loss: 0.01623, EPS: 0.10900000000000001
Epoch: 99, Train Loss: 0.00379, Valid Loss: 0.01625, EPS: 0.1
Test Loss: 0.01618
Test Loss: 0.01622
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.05274, Valid Loss: 0.03971, EPS: 0.991
Epoch: 1, Train Loss: 0.03336, Valid Loss: 0.03049, EPS: 0.982
Epoch: 2, Train Loss: 0.02606, Valid Loss: 0.02732, EPS: 0.973
Epoch: 3, Train Loss: 0.02191, Valid Loss: 0.02488, EPS: 0.964
Epoch: 4, Train Loss: 0.01858, Valid Loss: 0.02344, EPS: 0.955
Epoch: 5, Train Loss: 0.01638, Valid Loss: 0.02243, EPS: 0.946
Epoch: 6, Train Loss: 0.01425, Valid Loss: 0.02164, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.01288, Valid Loss: 0.02117, EPS: 0.928
Epoch: 8, Train Loss: 0.01171, Valid Loss: 0.02044, EPS: 0.919
Epoch: 9, Train Loss: 0.01070, Valid Loss: 0.02069, EPS: 0.91
Epoch: 10, Train Loss: 0.01009, Valid Loss: 0.02031, EPS: 0.901
Epoch: 11, Train Loss: 0.00941, Valid Loss: 0.02055, EPS: 0.892
Epoch: 12, Train Loss: 0.00894, Valid Loss: 0.02039, EPS: 0.883
Epoch: 13, Train Loss: 0.00838, Valid Loss: 0.02023, EPS: 0.874
Epoch: 14, Train Loss: 0.00800, Valid Loss: 0.02014, EPS: 0.865
Epoch: 15, Train Loss: 0.00767, Valid Loss: 0.02014, EPS: 0.856
Epoch: 16, Train Loss: 0.00738, Valid Loss: 0.02013, EPS: 0.847
Epoch: 17, Train Loss: 0.00707, Valid Loss: 0.01999, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00687, Valid Loss: 0.01986, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00669, Valid Loss: 0.02027, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00675, Valid Loss: 0.02023, EPS: 0.811
Epoch: 21, Train Loss: 0.00684, Valid Loss: 0.02003, EPS: 0.802
Epoch: 22, Train Loss: 0.00662, Valid Loss: 0.02007, EPS: 0.793
Epoch: 23, Train Loss: 0.00645, Valid Loss: 0.02013, EPS: 0.784
Epoch: 24, Train Loss: 0.00642, Valid Loss: 0.01999, EPS: 0.775
Epoch: 25, Train Loss: 0.00618, Valid Loss: 0.01997, EPS: 0.766
Epoch: 26, Train Loss: 0.00614, Valid Loss: 0.02007, EPS: 0.757
Epoch: 27, Train Loss: 0.00603, Valid Loss: 0.02011, EPS: 0.748
Epoch: 28, Train Loss: 0.00601, Valid Loss: 0.01999, EPS: 0.739
Epoch: 29, Train Loss: 0.00595, Valid Loss: 0.02032, EPS: 0.73
