Train: torch.Size([14031, 5, 64, 32]), Valid: torch.Size([4677, 5, 64, 32]), Test: torch.Size([4678, 5, 64, 32])
Starting Downstream Task
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.01916, Valid Loss: 0.01331, EPS: 0.991
Epoch: 1, Train Loss: 0.01150, Valid Loss: 0.01082, EPS: 0.982
Epoch: 2, Train Loss: 0.00906, Valid Loss: 0.00944, EPS: 0.973
Epoch: 3, Train Loss: 0.00774, Valid Loss: 0.00877, EPS: 0.964
Epoch: 4, Train Loss: 0.00698, Valid Loss: 0.00845, EPS: 0.955
Epoch: 5, Train Loss: 0.00651, Valid Loss: 0.00828, EPS: 0.946
Epoch: 6, Train Loss: 0.00626, Valid Loss: 0.00817, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00609, Valid Loss: 0.00805, EPS: 0.928
Epoch: 8, Train Loss: 0.00597, Valid Loss: 0.00797, EPS: 0.919
Epoch: 9, Train Loss: 0.00589, Valid Loss: 0.00795, EPS: 0.91
Epoch: 10, Train Loss: 0.00580, Valid Loss: 0.00786, EPS: 0.901
Epoch: 11, Train Loss: 0.00572, Valid Loss: 0.00770, EPS: 0.892
Epoch: 12, Train Loss: 0.00559, Valid Loss: 0.00783, EPS: 0.883
Epoch: 13, Train Loss: 0.00549, Valid Loss: 0.00773, EPS: 0.874
Epoch: 14, Train Loss: 0.00543, Valid Loss: 0.00770, EPS: 0.865
Epoch: 15, Train Loss: 0.00538, Valid Loss: 0.00762, EPS: 0.856
Epoch: 16, Train Loss: 0.00534, Valid Loss: 0.00767, EPS: 0.847
Epoch: 17, Train Loss: 0.00533, Valid Loss: 0.00771, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00529, Valid Loss: 0.00767, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00528, Valid Loss: 0.00764, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00520, Valid Loss: 0.00763, EPS: 0.811
Epoch: 21, Train Loss: 0.00518, Valid Loss: 0.00753, EPS: 0.802
Epoch: 22, Train Loss: 0.00515, Valid Loss: 0.00762, EPS: 0.793
Epoch: 23, Train Loss: 0.00515, Valid Loss: 0.00765, EPS: 0.784
Epoch: 24, Train Loss: 0.00516, Valid Loss: 0.00764, EPS: 0.775
Epoch: 25, Train Loss: 0.00515, Valid Loss: 0.00759, EPS: 0.766
Epoch: 26, Train Loss: 0.00512, Valid Loss: 0.00755, EPS: 0.757
Epoch: 27, Train Loss: 0.00504, Valid Loss: 0.00753, EPS: 0.748
Epoch: 28, Train Loss: 0.00503, Valid Loss: 0.00758, EPS: 0.739
Epoch: 29, Train Loss: 0.00503, Valid Loss: 0.00759, EPS: 0.73
Epoch: 30, Train Loss: 0.00506, Valid Loss: 0.00756, EPS: 0.721
Epoch: 31, Train Loss: 0.00503, Valid Loss: 0.00759, EPS: 0.712
Epoch: 32, Train Loss: 0.00499, Valid Loss: 0.00750, EPS: 0.703
Epoch: 33, Train Loss: 0.00499, Valid Loss: 0.00753, EPS: 0.694
Epoch: 34, Train Loss: 0.00496, Valid Loss: 0.00747, EPS: 0.685
Epoch: 35, Train Loss: 0.00493, Valid Loss: 0.00756, EPS: 0.676
Epoch: 36, Train Loss: 0.00490, Valid Loss: 0.00753, EPS: 0.667
Epoch: 37, Train Loss: 0.00492, Valid Loss: 0.00751, EPS: 0.658
Epoch: 38, Train Loss: 0.00492, Valid Loss: 0.00750, EPS: 0.649
Epoch: 39, Train Loss: 0.00490, Valid Loss: 0.00743, EPS: 0.64
Epoch: 40, Train Loss: 0.00489, Valid Loss: 0.00749, EPS: 0.6310000000000001
Epoch: 41, Train Loss: 0.00488, Valid Loss: 0.00752, EPS: 0.6220000000000001
Epoch: 42, Train Loss: 0.00490, Valid Loss: 0.00751, EPS: 0.6130000000000001
Epoch: 43, Train Loss: 0.00484, Valid Loss: 0.00753, EPS: 0.6040000000000001
Epoch: 44, Train Loss: 0.00488, Valid Loss: 0.00755, EPS: 0.5950000000000001
Epoch: 45, Train Loss: 0.00490, Valid Loss: 0.00754, EPS: 0.5860000000000001
Epoch: 46, Train Loss: 0.00483, Valid Loss: 0.00751, EPS: 0.5770000000000001
Epoch: 47, Train Loss: 0.00483, Valid Loss: 0.00750, EPS: 0.5680000000000001
Epoch: 48, Train Loss: 0.00485, Valid Loss: 0.00746, EPS: 0.559
Epoch: 49, Train Loss: 0.00481, Valid Loss: 0.00752, EPS: 0.55
Epoch: 50, Train Loss: 0.00484, Valid Loss: 0.00752, EPS: 0.541
Epoch: 51, Train Loss: 0.00418, Valid Loss: 0.00720, EPS: 0.532
Epoch: 52, Train Loss: 0.00380, Valid Loss: 0.00700, EPS: 0.523
Epoch: 53, Train Loss: 0.00361, Valid Loss: 0.00695, EPS: 0.514
Epoch: 54, Train Loss: 0.00350, Valid Loss: 0.00692, EPS: 0.505
Epoch: 55, Train Loss: 0.00344, Valid Loss: 0.00692, EPS: 0.496
Epoch: 56, Train Loss: 0.00341, Valid Loss: 0.00692, EPS: 0.4870000000000001
Epoch: 57, Train Loss: 0.00337, Valid Loss: 0.00691, EPS: 0.4780000000000001
Epoch: 58, Train Loss: 0.00335, Valid Loss: 0.00691, EPS: 0.4690000000000001
Epoch: 59, Train Loss: 0.00332, Valid Loss: 0.00691, EPS: 0.4600000000000001
Epoch: 60, Train Loss: 0.00330, Valid Loss: 0.00691, EPS: 0.45100000000000007
Epoch: 61, Train Loss: 0.00328, Valid Loss: 0.00692, EPS: 0.44200000000000006
Epoch: 62, Train Loss: 0.00326, Valid Loss: 0.00693, EPS: 0.43300000000000005
Epoch: 63, Train Loss: 0.00324, Valid Loss: 0.00692, EPS: 0.42400000000000004
Epoch: 64, Train Loss: 0.00321, Valid Loss: 0.00695, EPS: 0.41500000000000004
Epoch: 65, Train Loss: 0.00320, Valid Loss: 0.00697, EPS: 0.406
Epoch: 66, Train Loss: 0.00318, Valid Loss: 0.00696, EPS: 0.397
Epoch: 67, Train Loss: 0.00317, Valid Loss: 0.00696, EPS: 0.388
Epoch: 68, Train Loss: 0.00314, Valid Loss: 0.00700, EPS: 0.3790000000000001
Epoch: 69, Train Loss: 0.00312, Valid Loss: 0.00701, EPS: 0.3700000000000001
Epoch: 70, Train Loss: 0.00302, Valid Loss: 0.00699, EPS: 0.3610000000000001
Epoch: 71, Train Loss: 0.00300, Valid Loss: 0.00701, EPS: 0.3520000000000001
Epoch: 72, Train Loss: 0.00300, Valid Loss: 0.00699, EPS: 0.343
Epoch: 73, Train Loss: 0.00299, Valid Loss: 0.00700, EPS: 0.334
Epoch: 74, Train Loss: 0.00298, Valid Loss: 0.00700, EPS: 0.325
Epoch: 75, Train Loss: 0.00297, Valid Loss: 0.00699, EPS: 0.316
Epoch: 76, Train Loss: 0.00298, Valid Loss: 0.00700, EPS: 0.307
Epoch: 77, Train Loss: 0.00297, Valid Loss: 0.00701, EPS: 0.298
Epoch: 78, Train Loss: 0.00297, Valid Loss: 0.00701, EPS: 0.289
Epoch: 79, Train Loss: 0.00296, Valid Loss: 0.00701, EPS: 0.27999999999999997
Epoch: 80, Train Loss: 0.00296, Valid Loss: 0.00702, EPS: 0.27099999999999996
Epoch: 81, Train Loss: 0.00295, Valid Loss: 0.00701, EPS: 0.26200000000000007
Epoch: 82, Train Loss: 0.00295, Valid Loss: 0.00702, EPS: 0.25300000000000006
Epoch: 83, Train Loss: 0.00295, Valid Loss: 0.00701, EPS: 0.24400000000000005
Epoch: 84, Train Loss: 0.00295, Valid Loss: 0.00701, EPS: 0.23500000000000004
Epoch: 85, Train Loss: 0.00294, Valid Loss: 0.00699, EPS: 0.22600000000000003
Epoch: 86, Train Loss: 0.00295, Valid Loss: 0.00702, EPS: 0.21700000000000003
Epoch: 87, Train Loss: 0.00295, Valid Loss: 0.00700, EPS: 0.20800000000000002
Epoch: 88, Train Loss: 0.00294, Valid Loss: 0.00702, EPS: 0.199
Epoch: 89, Train Loss: 0.00294, Valid Loss: 0.00700, EPS: 0.19
Epoch: 90, Train Loss: 0.00295, Valid Loss: 0.00700, EPS: 0.181
Epoch: 91, Train Loss: 0.00294, Valid Loss: 0.00702, EPS: 0.172
Epoch: 92, Train Loss: 0.00294, Valid Loss: 0.00700, EPS: 0.16299999999999998
Epoch: 93, Train Loss: 0.00295, Valid Loss: 0.00703, EPS: 0.15400000000000005
Epoch: 94, Train Loss: 0.00294, Valid Loss: 0.00701, EPS: 0.14500000000000005
Epoch: 95, Train Loss: 0.00295, Valid Loss: 0.00702, EPS: 0.13600000000000004
Epoch: 96, Train Loss: 0.00294, Valid Loss: 0.00702, EPS: 0.12700000000000003
Epoch: 97, Train Loss: 0.00294, Valid Loss: 0.00701, EPS: 0.11800000000000002
Epoch: 98, Train Loss: 0.00294, Valid Loss: 0.00702, EPS: 0.10900000000000001
Epoch: 99, Train Loss: 0.00294, Valid Loss: 0.00700, EPS: 0.1
Test Loss: 0.00702
Test Loss: 0.00710
torch.Size([2806, 5, 64, 32])
torch.Size([935, 5, 64, 32])
torch.Size([937, 5, 64, 32])
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 0.02170, Valid Loss: 0.01800, EPS: 0.991
Epoch: 1, Train Loss: 0.01496, Valid Loss: 0.01304, EPS: 0.982
Epoch: 2, Train Loss: 0.01127, Valid Loss: 0.01156, EPS: 0.973
Epoch: 3, Train Loss: 0.00927, Valid Loss: 0.01067, EPS: 0.964
Epoch: 4, Train Loss: 0.00790, Valid Loss: 0.01003, EPS: 0.955
Epoch: 5, Train Loss: 0.00697, Valid Loss: 0.00964, EPS: 0.946
Epoch: 6, Train Loss: 0.00624, Valid Loss: 0.00930, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 0.00572, Valid Loss: 0.00913, EPS: 0.928
Epoch: 8, Train Loss: 0.00526, Valid Loss: 0.00902, EPS: 0.919
Epoch: 9, Train Loss: 0.00505, Valid Loss: 0.00897, EPS: 0.91
Epoch: 10, Train Loss: 0.00485, Valid Loss: 0.00898, EPS: 0.901
Epoch: 11, Train Loss: 0.00474, Valid Loss: 0.00913, EPS: 0.892
Epoch: 12, Train Loss: 0.00466, Valid Loss: 0.00891, EPS: 0.883
Epoch: 13, Train Loss: 0.00447, Valid Loss: 0.00887, EPS: 0.874
Epoch: 14, Train Loss: 0.00433, Valid Loss: 0.00884, EPS: 0.865
Epoch: 15, Train Loss: 0.00420, Valid Loss: 0.00888, EPS: 0.856
Epoch: 16, Train Loss: 0.00413, Valid Loss: 0.00879, EPS: 0.847
Epoch: 17, Train Loss: 0.00399, Valid Loss: 0.00875, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.00391, Valid Loss: 0.00872, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.00386, Valid Loss: 0.00873, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.00382, Valid Loss: 0.00883, EPS: 0.811
Epoch: 21, Train Loss: 0.00381, Valid Loss: 0.00876, EPS: 0.802
Epoch: 22, Train Loss: 0.00380, Valid Loss: 0.00877, EPS: 0.793
Epoch: 23, Train Loss: 0.00377, Valid Loss: 0.00883, EPS: 0.784
Epoch: 24, Train Loss: 0.00380, Valid Loss: 0.00884, EPS: 0.775
Epoch: 25, Train Loss: 0.00371, Valid Loss: 0.00880, EPS: 0.766
Epoch: 26, Train Loss: 0.00367, Valid Loss: 0.00878, EPS: 0.757
Epoch: 27, Train Loss: 0.00360, Valid Loss: 0.00880, EPS: 0.748
Epoch: 28, Train Loss: 0.00360, Valid Loss: 0.00888, EPS: 0.739
Epoch: 29, Train Loss: 0.00356, Valid Loss: 0.00879, EPS: 0.73
