nohup: ignoring input
Train shape: torch.Size([14031, 5, 64, 32])
Valid shape: torch.Size([4677, 5, 64, 32])
Test shape: torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 1.82128, Valid Loss: 1.55541, EPS: 0.991
Epoch: 1, Train Loss: 1.36862, Valid Loss: 1.37724, EPS: 0.982
Epoch: 2, Train Loss: 1.22129, Valid Loss: 1.32148, EPS: 0.973
Epoch: 3, Train Loss: 1.14889, Valid Loss: 1.30111, EPS: 0.964
Epoch: 4, Train Loss: 1.10655, Valid Loss: 1.28751, EPS: 0.955
Epoch: 5, Train Loss: 1.07660, Valid Loss: 1.27621, EPS: 0.946
Epoch: 6, Train Loss: 1.05088, Valid Loss: 1.27713, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 1.03356, Valid Loss: 1.27003, EPS: 0.928
Epoch: 8, Train Loss: 1.01579, Valid Loss: 1.27389, EPS: 0.919
Epoch: 9, Train Loss: 1.00098, Valid Loss: 1.27231, EPS: 0.91
Epoch: 10, Train Loss: 0.98749, Valid Loss: 1.27104, EPS: 0.901
Epoch: 11, Train Loss: 0.97709, Valid Loss: 1.27691, EPS: 0.892
Epoch: 12, Train Loss: 0.97292, Valid Loss: 1.27201, EPS: 0.883
Epoch: 13, Train Loss: 0.96275, Valid Loss: 1.27282, EPS: 0.874
Epoch: 14, Train Loss: 0.95628, Valid Loss: 1.27705, EPS: 0.865
Epoch: 15, Train Loss: 0.94740, Valid Loss: 1.27608, EPS: 0.856
Epoch: 16, Train Loss: 0.94107, Valid Loss: 1.27787, EPS: 0.847
Epoch: 17, Train Loss: 0.93512, Valid Loss: 1.27825, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 0.93170, Valid Loss: 1.28132, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 0.88296, Valid Loss: 1.26169, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 0.86391, Valid Loss: 1.25765, EPS: 0.811
Epoch: 21, Train Loss: 0.85517, Valid Loss: 1.25963, EPS: 0.802
Epoch: 22, Train Loss: 0.84833, Valid Loss: 1.25834, EPS: 0.793
Epoch: 23, Train Loss: 0.84389, Valid Loss: 1.25878, EPS: 0.784
Epoch: 24, Train Loss: 0.84030, Valid Loss: 1.25763, EPS: 0.775
Epoch: 25, Train Loss: 0.83713, Valid Loss: 1.26030, EPS: 0.766
Epoch: 26, Train Loss: 0.83399, Valid Loss: 1.26040, EPS: 0.757
Epoch: 27, Train Loss: 0.83162, Valid Loss: 1.26220, EPS: 0.748
Epoch: 28, Train Loss: 0.82926, Valid Loss: 1.26318, EPS: 0.739
Epoch: 29, Train Loss: 0.82615, Valid Loss: 1.26282, EPS: 0.73
Epoch: 30, Train Loss: 0.82492, Valid Loss: 1.26341, EPS: 0.721
Epoch: 31, Train Loss: 0.82324, Valid Loss: 1.26360, EPS: 0.712
Epoch: 32, Train Loss: 0.81776, Valid Loss: 1.26220, EPS: 0.703
Epoch: 33, Train Loss: 0.81661, Valid Loss: 1.26165, EPS: 0.694
Epoch: 34, Train Loss: 0.81648, Valid Loss: 1.26132, EPS: 0.685
Epoch: 35, Train Loss: 0.81614, Valid Loss: 1.26321, EPS: 0.676
Epoch: 36, Train Loss: 0.81527, Valid Loss: 1.26372, EPS: 0.667
Epoch: 37, Train Loss: 0.81490, Valid Loss: 1.26380, EPS: 0.658
Epoch: 38, Train Loss: 0.81506, Valid Loss: 1.26343, EPS: 0.649
Epoch: 39, Train Loss: 0.81522, Valid Loss: 1.26200, EPS: 0.64
Epoch: 40, Train Loss: 0.81469, Valid Loss: 1.26070, EPS: 0.6310000000000001
