Train shape: torch.Size([14031, 5, 64, 32])
Valid shape: torch.Size([4677, 5, 64, 32])
Test shape: torch.Size([4678, 5, 64, 32])
Shape: (5, 144, 72)
Starting Downstream Task
Shape: (5, 144, 72)
Epoch: 0, Train Loss: 936.89456, Valid Loss: 461.11523, EPS: 0.991
Epoch: 1, Train Loss: 321.45553, Valid Loss: 200.07237, EPS: 0.982
Epoch: 2, Train Loss: 172.77185, Valid Loss: 121.59081, EPS: 0.973
Epoch: 3, Train Loss: 134.34089, Valid Loss: 117.44374, EPS: 0.964
Epoch: 4, Train Loss: 111.61600, Valid Loss: 89.60450, EPS: 0.955
Epoch: 5, Train Loss: 94.52249, Valid Loss: 84.52043, EPS: 0.946
Epoch: 6, Train Loss: 93.78786, Valid Loss: 86.65817, EPS: 0.9369999999999999
Epoch: 7, Train Loss: 95.61424, Valid Loss: 84.47046, EPS: 0.928
Epoch: 8, Train Loss: 89.57815, Valid Loss: 83.34632, EPS: 0.919
Epoch: 9, Train Loss: 89.29822, Valid Loss: 83.64065, EPS: 0.91
Epoch: 10, Train Loss: 88.70855, Valid Loss: 82.79164, EPS: 0.901
Epoch: 11, Train Loss: 88.66867, Valid Loss: 83.98577, EPS: 0.892
Epoch: 12, Train Loss: 88.26943, Valid Loss: 82.98675, EPS: 0.883
Epoch: 13, Train Loss: 90.23121, Valid Loss: 83.01904, EPS: 0.874
Epoch: 14, Train Loss: 90.20548, Valid Loss: 83.53861, EPS: 0.865
Epoch: 15, Train Loss: 89.14708, Valid Loss: 82.75427, EPS: 0.856
Epoch: 16, Train Loss: 90.24189, Valid Loss: 84.74836, EPS: 0.847
Epoch: 17, Train Loss: 91.61023, Valid Loss: 85.88619, EPS: 0.8380000000000001
Epoch: 18, Train Loss: 91.93535, Valid Loss: 83.12822, EPS: 0.8290000000000001
Epoch: 19, Train Loss: 88.06808, Valid Loss: 82.41061, EPS: 0.8200000000000001
Epoch: 20, Train Loss: 88.34473, Valid Loss: 82.90137, EPS: 0.811
Epoch: 21, Train Loss: 87.58150, Valid Loss: 82.96866, EPS: 0.802
Epoch: 22, Train Loss: 87.98816, Valid Loss: 83.50573, EPS: 0.793
Epoch: 23, Train Loss: 88.84756, Valid Loss: 83.97122, EPS: 0.784
Epoch: 24, Train Loss: 88.05071, Valid Loss: 83.45936, EPS: 0.775
Epoch: 25, Train Loss: 88.45810, Valid Loss: 82.40293, EPS: 0.766
Epoch: 26, Train Loss: 87.63540, Valid Loss: 83.00583, EPS: 0.757
Epoch: 27, Train Loss: 87.76429, Valid Loss: 83.23695, EPS: 0.748
Epoch: 28, Train Loss: 89.68913, Valid Loss: 83.70968, EPS: 0.739
Epoch: 29, Train Loss: 90.20591, Valid Loss: 86.21861, EPS: 0.73
Epoch: 30, Train Loss: 89.58995, Valid Loss: 83.22958, EPS: 0.721
Epoch: 31, Train Loss: 88.15222, Valid Loss: 82.58123, EPS: 0.712
Epoch: 32, Train Loss: 87.92312, Valid Loss: 82.47421, EPS: 0.703
Epoch: 33, Train Loss: 87.67078, Valid Loss: 83.05167, EPS: 0.694
Epoch: 34, Train Loss: 87.63974, Valid Loss: 82.90849, EPS: 0.685
Epoch: 35, Train Loss: 87.55448, Valid Loss: 83.06414, EPS: 0.676
Epoch: 36, Train Loss: 87.54228, Valid Loss: 82.84513, EPS: 0.667
Epoch: 37, Train Loss: 87.71093, Valid Loss: 83.10942, EPS: 0.658
Epoch: 38, Train Loss: 87.62179, Valid Loss: 82.80575, EPS: 0.649
Epoch: 39, Train Loss: 90.11072, Valid Loss: 82.69464, EPS: 0.64
Epoch: 40, Train Loss: 88.75554, Valid Loss: 83.25349, EPS: 0.6310000000000001
